ctgr,input,probe_asn,measurement_start_time,accessible,blocking,status_code,title,explorer,api
ANON,https://psiphon.ca/,8452,2018-02-21 9:25:56,f,http-diff,520,psiphon.ca | 520: Web server is returning an unknown error,https://explorer.ooni.torproject.org/measurement/20180221T091353Z_AS8452_wryQ6991z5aYTPIaFeQW02KGQ3kTK2MRG2nFV72k8pxSQMzOrC?input=https://psiphon.ca/,http://api.ooni.io/api/v1/measurement/temp-id-163988140
ANON,https://www.purevpn.com/,8452,2018-02-21 10:01:17,f,http-diff,525,www.purevpn.com | 525: SSL handshake failed,https://explorer.ooni.torproject.org/measurement/20180221T091353Z_AS8452_wryQ6991z5aYTPIaFeQW02KGQ3kTK2MRG2nFV72k8pxSQMzOrC?input=https://www.purevpn.com/,http://api.ooni.io/api/v1/measurement/temp-id-163988813
ANON,https://psiphon.ca/,8452,2018-02-21 13:59:05,f,http-diff,520,psiphon.ca | 520: Web server is returning an unknown error,https://explorer.ooni.torproject.org/measurement/20180221T133738Z_AS8452_34QI7PpV5gLp6iw0N9OjSLmtkR2SbGEznV9joap39727XgTwlO?input=https://psiphon.ca/,http://api.ooni.io/api/v1/measurement/temp-id-163998565
ANON,https://www.purevpn.com/,8452,2018-02-21 14:48:47,f,http-diff,525,www.purevpn.com | 525: SSL handshake failed,https://explorer.ooni.torproject.org/measurement/20180221T133738Z_AS8452_34QI7PpV5gLp6iw0N9OjSLmtkR2SbGEznV9joap39727XgTwlO?input=https://www.purevpn.com/,http://api.ooni.io/api/v1/measurement/temp-id-163999239
ANON,https://psiphon.ca/,8452,2018-02-22 2:50:50,f,http-diff,520,psiphon.ca | 520: Web server is returning an unknown error,https://explorer.ooni.torproject.org/measurement/20180222T025001Z_AS8452_Sk5080aDHXSsltFbTsHHWD3MtiviT7jRcDtZ3n00oMsXVqgX8K?input=https://psiphon.ca/,http://api.ooni.io/api/v1/measurement/temp-id-164014157
ANON,https://psiphon.ca/,8452,2018-02-22 9:19:45,f,http-diff,520,psiphon.ca | 520: Web server is returning an unknown error,https://explorer.ooni.torproject.org/measurement/20180222T090708Z_AS8452_UYSALRxJtLrEChMOT3DuIry1ejHFtzf0digrWJaunYxAMAhOw5?input=https://psiphon.ca/,http://api.ooni.io/api/v1/measurement/temp-id-164092200
ANON,https://psiphon.ca/,8452,2018-02-22 9:47:18,f,http-diff,520,psiphon.ca | 520: Web server is returning an unknown error,https://explorer.ooni.torproject.org/measurement/20180222T092802Z_AS8452_vsu88Qy5RZ58YtZcvpVDXRRTT9OfQ4Vn9E601Xb30H7C5RQGFZ?input=https://psiphon.ca/,http://api.ooni.io/api/v1/measurement/temp-id-164268469
ANON,https://www.purevpn.com/,8452,2018-02-22 11:38:38,f,http-diff,530,Origin DNS error | www.purevpn.com | Cloudflare,https://explorer.ooni.torproject.org/measurement/20180222T092802Z_AS8452_vsu88Qy5RZ58YtZcvpVDXRRTT9OfQ4Vn9E601Xb30H7C5RQGFZ?input=https://www.purevpn.com/,http://api.ooni.io/api/v1/measurement/temp-id-164269151
ANON,https://psiphon.ca,8452,2018-02-22 13:04:29,f,http-diff,520,psiphon.ca | 520: Web server is returning an unknown error,https://explorer.ooni.torproject.org/measurement/20180222T115312Z_AS8452_sU4Tb1ILmR9f38LiMNtQ8yvISYY7DihUHx6FXWVnsWI8Jd7ejg?input=https://psiphon.ca,http://api.ooni.io/api/v1/measurement/temp-id-164039894
ANON,https://psiphon.ca/,8452,2018-02-25 9:28:10,f,http-diff,520,psiphon.ca | 520: Web server is returning an unknown error,https://explorer.ooni.torproject.org/measurement/20180225T091510Z_AS8452_LsetZmzvI4wVA5qB0l831pBWPilq8eQ9kIA3FXndRfyODpZPRX?input=https://psiphon.ca/,http://api.ooni.io/api/v1/measurement/temp-id-165096674
ANON,https://www.purevpn.com/,8452,2018-02-25 10:06:37,f,http-diff,525,www.purevpn.com | 525: SSL handshake failed,https://explorer.ooni.torproject.org/measurement/20180225T091510Z_AS8452_LsetZmzvI4wVA5qB0l831pBWPilq8eQ9kIA3FXndRfyODpZPRX?input=https://www.purevpn.com/,http://api.ooni.io/api/v1/measurement/temp-id-165097349
ANON,https://psiphon.ca,8452,2018-02-25 11:49:39,f,http-diff,520,psiphon.ca | 520: Web server is returning an unknown error,https://explorer.ooni.torproject.org/measurement/20180225T103737Z_AS8452_CQumMBMqkVDOItGyesNL2WAS6dF5w0izKX43w2nvTzL3fsu5XZ?input=https://psiphon.ca,http://api.ooni.io/api/v1/measurement/temp-id-164925782
ANON,https://psiphon.ca,8452,2018-02-27 13:08:04,f,http-diff,520,psiphon.ca | 520: Web server is returning an unknown error,https://explorer.ooni.torproject.org/measurement/20180227T102515Z_AS8452_dMefQQYR8CUX56K6Swhv4T91X8HTnUMh44rLJopj6ofnVBEkWt?input=https://psiphon.ca,http://api.ooni.io/api/v1/measurement/temp-id-165406202
ANON,https://www.purevpn.com/,8452,2018-02-28 7:10:32,f,http-diff,525,www.purevpn.com | 525: SSL handshake failed,https://explorer.ooni.torproject.org/measurement/20180228T070850Z_AS8452_vuN6e6d2hbieBAMEknEkcKJJXMKuV1ZgY2ViEp797Z8BKsUCoq?input=https://www.purevpn.com/,http://api.ooni.io/api/v1/measurement/temp-id-165750144
ANON,https://psiphon.ca/,8452,2018-02-28 12:59:12,f,http-diff,520,psiphon.ca | 520: Web server is returning an unknown error,https://explorer.ooni.torproject.org/measurement/20180228T123815Z_AS8452_7iu8XiXCZtgviu52JYUFxpsGODTMltSqi35Xd2vVNHROXuCFD0?input=https://psiphon.ca/,http://api.ooni.io/api/v1/measurement/temp-id-165937852
ANON,https://www.purevpn.com/,8452,2018-02-28 14:05:35,f,http-diff,525,www.purevpn.com | 525: SSL handshake failed,https://explorer.ooni.torproject.org/measurement/20180228T123815Z_AS8452_7iu8XiXCZtgviu52JYUFxpsGODTMltSqi35Xd2vVNHROXuCFD0?input=https://www.purevpn.com/,http://api.ooni.io/api/v1/measurement/temp-id-165938527
ANON,https://psiphon.ca/,8452,2018-03-01 8:56:26,f,http-diff,520,psiphon.ca | 520: Web server is returning an unknown error,https://explorer.ooni.torproject.org/measurement/20180301T084145Z_AS8452_fdTZhxH8u9IuuMy9Gt2Id3eogyflHwmgEsDRhnocWzMnn6tR25?input=https://psiphon.ca/,http://api.ooni.io/api/v1/measurement/temp-id-166204441
ANON,https://psiphon.ca/,8452,2018-03-04 7:09:11,f,http-diff,520,psiphon.ca | 520: Web server is returning an unknown error,https://explorer.ooni.torproject.org/measurement/20180304T070815Z_AS8452_5m6K599fUlDmAngR9rfVTnNjtHrsnp4c1FSlYoTuStzTybX76U?input=https://psiphon.ca/,http://api.ooni.io/api/v1/measurement/temp-id-166778889
ANON,https://psiphon.ca/,8452,2018-03-04 9:55:33,f,http-diff,520,psiphon.ca | 520: Web server is returning an unknown error,https://explorer.ooni.torproject.org/measurement/20180304T094103Z_AS8452_QVzaolU9qrBkCi4hri7tueOPWyZ8DALg03LWxsFbUujMpU9djg?input=https://psiphon.ca/,http://api.ooni.io/api/v1/measurement/temp-id-167011757
ANON,https://www.purevpn.com/,8452,2018-03-04 10:30:11,f,http-diff,525,www.purevpn.com | 525: SSL handshake failed,https://explorer.ooni.torproject.org/measurement/20180304T094103Z_AS8452_QVzaolU9qrBkCi4hri7tueOPWyZ8DALg03LWxsFbUujMpU9djg?input=https://www.purevpn.com/,http://api.ooni.io/api/v1/measurement/temp-id-167012432
ANON,https://www.purevpn.com/,8452,2018-03-04 20:39:18,f,http-diff,525,www.purevpn.com | 525: SSL handshake failed,https://explorer.ooni.torproject.org/measurement/20180304T203805Z_AS8452_wPMaln1Pcp64lPwmV2IfnEl2cpxDyzQH69EopBPQ8cMtan0w4x?input=https://www.purevpn.com/,http://api.ooni.io/api/v1/measurement/temp-id-166833571
ANON,https://psiphon.ca/,8452,2018-03-05 9:08:23,f,http-diff,520,psiphon.ca | 520: Web server is returning an unknown error,https://explorer.ooni.torproject.org/measurement/20180305T085424Z_AS8452_n6IyV1WMhIIpk7fZqQEmNbLQcvlqBhXHobANJbUTsqvmp0Xntn?input=https://psiphon.ca/,http://api.ooni.io/api/v1/measurement/temp-id-167299336
