input,blk_cnt,test_cnt,rate
http://www.masrmix.com,152,199,0.76
http://yanairgate.net,153,201,0.76
https://www.al-akhbar.com/,3,4,0.75
http://www.al-akhbar.com/,3,4,0.75
http://www.raya.com/portal,156,208,0.75
http://www.filfan.com,3,4,0.75
http://doc.aljazeera.net,157,208,0.75
http://midan.aljazeera.net,156,207,0.75
https://www.hotspotshield.com,121,162,0.75
http://www.alscene.com,148,200,0.74
http://balkans.aljazeera.net,154,207,0.74
http://www.ardmasr.com,147,201,0.73
http://baheyya.blogspot.com,152,212,0.72
http://www.korabia.com,138,197,0.7
http://www.umayyapress.com,131,187,0.7
http://klmty.net,146,212,0.69
http://madamasr.com,145,212,0.68
http://asayelgroup.com,2,3,0.67
http://www.thenewkhalij.org,2,3,0.67
http://omeldunya.com,2,3,0.67
http://www.manalaa.net,138,207,0.67
http://textsecure-service-ca.whispersystems.org,2,3,0.67
http://ensankhorda.manalaa.net/,2,3,0.67
http://ikhnaton2.manalaa.net/,2,3,0.67
http://nadimyat.manalaa.net/,2,3,0.67
http://otherthings.manalaa.net/,2,3,0.67
http://jarelkamar.manalaa.net/,4,6,0.67
http://endehash.manalaa.net/,2,3,0.67
http://africano.manalaa.net/,2,3,0.67
http://shadow.manalaa.net/,2,3,0.67
https://www.hrw.org/,116,176,0.66
http://www.suedeproxy.info,106,177,0.6
http://www.al-watan.com,121,207,0.58
http://thedailynewsegypt.com,105,184,0.57
https://psiphon.ca,80,143,0.56
https://www.atbrownies.blogspot.com.eg,78,141,0.55
https://www.ultrasawt.com,81,152,0.53
http://www.arabyexpressnews.com,108,204,0.53
http://www.webproxyfree.net,93,177,0.53
http://www.saoudiproxy.info,92,178,0.52
http://www.thepeninsulaqatar.com,84,176,0.48
http://arabi21.com,89,185,0.48
http://www.http-tunnel.com,187,393,0.48
https://www.fanfiction.net/,86,182,0.47
http://medium.com,86,184,0.47
https://www.anonymizer.com/,83,178,0.47
https://psiphon.ca/,86,189,0.46
http://www.ninjaweb.xyz,75,163,0.46
http://www.unblockweb.co,76,165,0.46
http://www.anonymizer.com,74,166,0.45
http://www.hidester.com,71,159,0.45
http://www.zacebookpk.com,68,154,0.44
http://www.freeproxyserver.co,71,162,0.44
http://www.unblockfreeproxy.com,72,165,0.44
http://www.orangeproxy.net,72,165,0.44
http://www.cactusvpn.com,71,162,0.44
http://www.alarab.qa,88,206,0.43
http://www.vpnbook.com,76,178,0.43
http://www.unblockvideos.com,69,162,0.43
http://alarab.qa/,85,197,0.43
http://www.perfect-privacy.com,68,158,0.43
http://www.gulf-times.com,86,202,0.43
http://stealthy.co,66,152,0.43
