cat code,input,blk_cnt,test_cnt
NEWS,http://mubasher.aljazeera.net,76,208
NEWS,http://www.huffingtonpost.com,73,190
POLR,http://baheyya.blogspot.com,152,212
POLR,http://www.manalaa.net,138,207
POLR,http://medium.com,86,184
POLR,http://ikhwanonline.com/,355,426
POLR,http://6april.org,172,205
POLR,http://fakartany.com,167,197
POLR,http://www.ikhwanonline.com/new/Default.aspx,161,207
POLR,http://www.gwady.net,160,198
POLR,http://revsoc.me,158,206
REL,http://www.wzo.org.il,194,207
