ctgr,input,probe_asn,measurement_start_time,location,accessible,blocking,explorer,api
COMT,http://www.talafone.com,36992,2017-11-24 4:43:46,http://notification.etisalat.com.eg/etisalat/notification/redirectionactions.html?ID=162?param=7XwHr2VbwxNlwcrhFztYUbTwKFvpz3XDUFwPTFpAPr%2BTicKBh%2BLeR%2BK88te4nGDu2yUr%2FLx1i3fIvfsM0Q3fmFlwK2lxbsKMA4Q%2Fcxf3BIY%3D,f,http-diff,https://explorer.ooni.torproject.org/measurement/20171124T010452Z_AS36992_NoX9kGPiWk2nSNilHYukz5FOEMUj9xw5EntIv8bjQFtmUNjVSV?input=http://www.talafone.com,http://api.ooni.io/api/v1/measurement/temp-id-138780967
MILX,http://www.terrorismfiles.org,36992,2017-11-24 4:45:37,http://notification.etisalat.com.eg/etisalat/notification/redirectionactions.html?ID=162?param=S8K%2BWuV7PT9%2F59SN0AnLibTwKFvpz3XDUFwPTFpAPr%2BTicKBh%2BLeR%2BK88te4nGDuug5oaoeXGVA5jyIdvIbP4hz%2BYJ49WsL5yAKKZau8W21GBl6QjfeAPSMZoBTiy2dadIUJ1ptbzVKGhNK%2F9qqRtrJOtsy4YIEZKYI%2FSBJP3QJtMez1fqQceRmOh2JwW75CXSwdarXaMXXSGJM3ziccnYF5lTvF2nsQGrLU5%2Bftcmf%2BYkMusgY70L2u%2BJ3UlRzOmit7bsS9Z%2BuaKRPNzURL9j7g7Z2slxClrn%2FjognxomzQ7mykyMcWPvaewUU5m%2F1y3migChuybWRNXaV2SbWiVNEk742lDrT62y7Iz1RDE91CQYLZ28oiTPOg9Whta5pSlbksmKm2VdfU1Zf1ysP8XBczWblBWQcD7TTc%2FNq4soJPTonYy%2BRmLot%2BP7TwivfObfwTDbdUh4hjZNaFDyFKih9vckEvPCPhaAiP2s4pSIKghU%2Bj60BJO7UlrU0X94JMJ9rubDcBTvZbauC2hRun3%2BkH0zclZ2Mg3uZ11Aph2%2Fa2Ntkoi2yRKXYfAJrRIvt%2FBBTDKrdfHpZ7TIPonpeiTO8NoLhNNs4vXeja9PXGSiokkfep7HHP8DhSdyUlQs4Ej9VA8UuPuRAomsdhIinTLTObKSPn%2BNKfUjZfTSW62anWBfVJvJfUwo1NJ7U8SCf99fVNx3%2FtUsp5TqGs8Q20Zr7Y%2BG2qHqIJRn5EEJ4GWzpeyDIrRtnlV%2FDK3hVRAmGtxxTVA3FV6NIvyi6AwzLGAw%3D%3D,f,http-diff,https://explorer.ooni.torproject.org/measurement/20171124T010452Z_AS36992_NoX9kGPiWk2nSNilHYukz5FOEMUj9xw5EntIv8bjQFtmUNjVSV?input=http://www.terrorismfiles.org,http://api.ooni.io/api/v1/measurement/temp-id-138780971
MILX,http://www.terrorismfiles.org,36992,2017-11-24 4:45:37,http://notification.etisalat.com.eg/etisalat/notification/redirectionactions.html?ID=162?param=S8K%2BWuV7PT9%2F59SN0AnLibTwKFvpz3XDUFwPTFpAPr%2BTicKBh%2BLeR%2BK88te4nGDuug5oaoeXGVA5jyIdvIbP4hz%2BYJ49WsL5yAKKZau8W21GBl6QjfeAPSMZoBTiy2dadIUJ1ptbzVKGhNK%2F9qqRtrJOtsy4YIEZKYI%2FSBJP3QJtMez1fqQceRmOh2JwW75Cjl1GQ6xV6siogPwtIL%2F9AJrH935ZaAkIb7zPYPig32DdV743HQpAcPuiKVSjvYk5bQqHMTsj1XwuHbv31LKdYwZNXSk768LYerAK7RDE89Pr1ZwktJNySL8n%2FZdgvWfDr7sfvfrHCjkjf5CWKji6WY%2F4aVqceI4P%2Fx04t7OrSZlvS5kB3gXTuVP6GW9tjriS,f,http-diff,https://explorer.ooni.torproject.org/measurement/20171124T010452Z_AS36992_NoX9kGPiWk2nSNilHYukz5FOEMUj9xw5EntIv8bjQFtmUNjVSV?input=http://www.terrorismfiles.org,http://api.ooni.io/api/v1/measurement/temp-id-138780971
MILX,http://www.terrorismfiles.org,36992,2017-11-24 4:45:37,http://notification.etisalat.com.eg/etisalat/notification/redirectionactions.html?ID=162?param=Ih0GAGkJjxaZkPwDxlg677TwKFvpz3XDUFwPTFpAPr%2BTicKBh%2BLeR%2BK88te4nGDutSm4VzMpk6PRjjG9Ljh6aqh78XsYwqKQHA2Vbrix%2FxQ%3D,f,http-diff,https://explorer.ooni.torproject.org/measurement/20171124T010452Z_AS36992_NoX9kGPiWk2nSNilHYukz5FOEMUj9xw5EntIv8bjQFtmUNjVSV?input=http://www.terrorismfiles.org,http://api.ooni.io/api/v1/measurement/temp-id-138780971
REL,http://www.themwl.org,36992,2017-11-24 4:46:56,http://notification.etisalat.com.eg/etisalat/notification/redirectionactions.html?ID=162?param=MkSO%2BYlQ33%2BiEboagfP8eLTwKFvpz3XDUFwPTFpAPr%2BTicKBh%2BLeR%2BK88te4nGDuug5oaoeXGVA5jyIdvIbP4hz%2BYJ49WsL5yAKKZau8W21GBl6QjfeAPSMZoBTiy2dadIUJ1ptbzVKGhNK%2F9qqRtrJOtsy4YIEZKYI%2FSBJP3QJtMez1fqQceRmOh2JwW75C4vCaiWWG9jufrJDFyb%2FaX%2BPBcGtHSaOt3dwocPXH5%2FsJ3MsnVl9rHcLOd1DqGdWmmit7bsS9Z%2BuaKRPNzURL9j7g7Z2slxClrn%2FjognxomzQ7mykyMcWPvaewUU5m%2F1y3migChuybWRNXaV2SbWiVNEk742lDrT62y7Iz1RDE91CQYLZ28oiTPOg9Whta5pSlbksmKm2VdfU1Zf1ysP8XBczWblBWQcD7TTc%2FNq4soJPTonYy%2BRmLot%2BP7TwivfObfwTDbdUh4hjZNaFDyFKih9vckEvPCPhaAiP2s4pSIILRr80a6p3gxyQakAh797SRZDOpXxjUre1zHIy3pml%2FdiL%2Frzc2mBbFln1XM5u6jzL43fcaUfyfSy1Fl%2FBUHfW1ilFTy6yiEs5MqWXJdX2BEI%2FVEHwtE1dW1SorGV%2BOVAD%2B5a7sepHRZmxctQMo65spWqwNzygkQ1iXBxfKct1Ap4C9WZMGzo%2FBIuAfDN945aD5mYcr0MX0d94u34%2FiaYrOXzlkJY91A6K4yuNo6VhHlbFgDWRbC9GnDNUAH0EAD5KD4BF4FHVjr06UmD%2FnXab%2Fn3jbKB%2FcKETFTw9mqD9KIbcEmiRgOcwliOWwIFBuhe31KJckcvXWiMRvpGu%2F9%2Bw39Q8qfrYLcZDn0%2FbI%2FN4bg%3D%3D,f,http-diff,https://explorer.ooni.torproject.org/measurement/20171124T010452Z_AS36992_NoX9kGPiWk2nSNilHYukz5FOEMUj9xw5EntIv8bjQFtmUNjVSV?input=http://www.themwl.org,http://api.ooni.io/api/v1/measurement/temp-id-138780978
REL,http://www.themwl.org,36992,2017-11-24 4:46:56,http://notification.etisalat.com.eg/etisalat/notification/redirectionactions.html?ID=162?param=MkSO%2BYlQ33%2BiEboagfP8eLTwKFvpz3XDUFwPTFpAPr%2BTicKBh%2BLeR%2BK88te4nGDuug5oaoeXGVA5jyIdvIbP4hz%2BYJ49WsL5yAKKZau8W21GBl6QjfeAPSMZoBTiy2dadIUJ1ptbzVKGhNK%2F9qqRtrJOtsy4YIEZKYI%2FSBJP3QJtMez1fqQceRmOh2JwW75C4vCaiWWG9jufrJDFyb%2FaX%2BPBcGtHSaOt3dwocPXH5%2FsJ3MsnVl9rHcLOd1DqGdWmmit7bsS9Z%2BuaKRPNzURL9j7g7Z2slxClrn%2FjognxomwHI8LTYhXijVM4ZW%2FGi2ZjZW0a0wq0jmZoXrwqwmIVxtzLL6ioIqzvtW9%2BVIjFBViH3uxucVstXdFc0Avk%2F5EqjBEBFio2j6791w6kcHddkA%3D%3D,f,http-diff,https://explorer.ooni.torproject.org/measurement/20171124T010452Z_AS36992_NoX9kGPiWk2nSNilHYukz5FOEMUj9xw5EntIv8bjQFtmUNjVSV?input=http://www.themwl.org,http://api.ooni.io/api/v1/measurement/temp-id-138780978
REL,http://www.themwl.org,36992,2017-11-24 4:46:56,http://notification.etisalat.com.eg/etisalat/notification/redirectionactions.html?ID=162?param=MkSO%2BYlQ33%2BiEboagfP8eLTwKFvpz3XDUFwPTFpAPr%2BTicKBh%2BLeR%2BK88te4nGDuKRgnutLuhs0sJe%2F3ZvoGkT%2FE846qQijmjZcB2KO9dRo%3D,f,http-diff,https://explorer.ooni.torproject.org/measurement/20171124T010452Z_AS36992_NoX9kGPiWk2nSNilHYukz5FOEMUj9xw5EntIv8bjQFtmUNjVSV?input=http://www.themwl.org,http://api.ooni.io/api/v1/measurement/temp-id-138780978
REL,http://www.themwl.org,36992,2017-11-24 4:46:56,http://notification.etisalat.com.eg/etisalat/notification/redirectionactions.html?ID=162?param=caRRggoCZKAG%2FGKLd9AeBLTwKFvpz3XDUFwPTFpAPr%2BTicKBh%2BLeR%2BK88te4nGDuKRgnutLuhs0sJe%2F3ZvoGkT%2FE846qQijmjZcB2KO9dRo%3D,f,http-diff,https://explorer.ooni.torproject.org/measurement/20171124T010452Z_AS36992_NoX9kGPiWk2nSNilHYukz5FOEMUj9xw5EntIv8bjQFtmUNjVSV?input=http://www.themwl.org,http://api.ooni.io/api/v1/measurement/temp-id-138780978
NEWS,http://www.theregister.co.uk,36992,2017-11-24 4:47:33,http://notification.etisalat.com.eg/etisalat/notification/redirectionactions.html?ID=162?param=ujQj7ghQ5Q6mmoaCwCkUGLTwKFvpz3XDUFwPTFpAPr%2BTicKBh%2BLeR%2BK88te4nGDuTyd5AKVL11a1mFA%2FFMzfTesPkDegLwoZRcw6SXXg0Kw%3D,f,http-diff,https://explorer.ooni.torproject.org/measurement/20171124T010452Z_AS36992_NoX9kGPiWk2nSNilHYukz5FOEMUj9xw5EntIv8bjQFtmUNjVSV?input=http://www.theregister.co.uk,http://api.ooni.io/api/v1/measurement/temp-id-138780982
NEWS,http://www.theregister.co.uk,36992,2017-11-24 4:47:33,http://notification.etisalat.com.eg/etisalat/notification/redirectionactions.html?ID=162?param=PetstW8Z0NULI%2Bt4zqakVLTwKFvpz3XDUFwPTFpAPr%2BTicKBh%2BLeR%2BK88te4nGDuTyd5AKVL11a1mFA%2FFMzfTesPkDegLwoZRcw6SXXg0Kw%3D,f,http-diff,https://explorer.ooni.torproject.org/measurement/20171124T010452Z_AS36992_NoX9kGPiWk2nSNilHYukz5FOEMUj9xw5EntIv8bjQFtmUNjVSV?input=http://www.theregister.co.uk,http://api.ooni.io/api/v1/measurement/temp-id-138780982
