,anmly_color,calc_telegram_http_blocking,calc_telegram_tcp_blocking,calc_telegram_web_status,probe_cc,probe_asn,report_id,test_start_time,blocked_endpoints,accessible_endpoints
38,green,False,False,ok,ET,AS24757,20190426T184835Z_AS24757_jNM4yazSKp8jLDnPQxlX0kRt3ZhE37dOHx7fzoTwdhZAYUdC9p,2019-04-26 18:48:25,0,10
39,red,False,False,blocked,ET,AS24757,20190612T155821Z_AS24757_JJs26ry2sVTYcBMT1oNMpSWJpBGdboGUY2hvXbksGoBOKmeXLp,2019-06-12 15:57:47,8,2
40,green,False,False,ok,ET,AS24757,20190408T080628Z_AS24757_XTydac90MRRixLq9kkjbyQAqtfYBkhVAGsSaJCGk8TXeOXnMLM,2019-04-07 19:43:52,0,10
41,red,,False,blocked,ET,AS24757,20190616T140326Z_AS24757_U2Z3q8xCv4wPIRXGtypey43UvKJPAXKDzEcW6Z5BoK52O862Fr,2019-06-16 14:03:25,16,4
42,green,False,False,ok,ET,AS24757,20190403T124436Z_AS24757_njEg8YzhRUvKURnwmpJ0aRcvJ32JdpxeIZY3FmBvQnYiya9jF2,2019-04-03 12:44:35,0,10
43,green,False,False,ok,ET,AS24757,20190404T064820Z_AS24757_NiWVqXIHlXdmAE7LHETK66MUQV0TYj6pg71MKLdC6GzMUczjht,2019-04-04 06:48:19,0,10
44,green,False,False,ok,ET,AS24757,20190409T090227Z_AS24757_WWKF6NA0HSLghz4TTsbif5CexAd0mcjIhtvrbarOaWvJtRYBpU,2019-04-09 06:12:22,0,10
45,green,False,False,ok,ET,AS24757,20190410T074738Z_AS24757_DWCQis7gExFualaE4Cghnd7RBVxAzbAVBq1c437kwl9UtpTUSQ,2019-04-10 07:47:36,0,10
46,green,False,False,ok,ET,AS24757,20190405T013535Z_AS24757_Q9k4w5rjtVFbdedkXPJDOM5xkD08HK1itdp6Z4JP0U9gjutzlX,2019-04-05 01:35:34,0,10
47,green,False,False,ok,ET,AS24757,20190326T075609Z_AS24757_ZXbukin3IZ0Q1UPl0Wk3MhnN5maokKIEUvBaQwqcKYFcbme3lq,2019-03-26 07:56:08,0,10
48,green,False,False,ok,ET,AS24757,20190327T183819Z_AS24757_kIblqK3jtpUUvbS7Ajt5pxQYdJ1U3IB8E54403xIi2ltA5GQrK,2019-03-27 18:38:12,0,10
49,green,False,False,ok,ET,AS24757,20190325T100151Z_AS24757_jiVnpsU4FBGJswJBPIp4xfNM5Bc3UHw48AZfpB8CwBf0v8iUrW,2019-03-24 09:10:38,0,10
50,green,False,False,ok,ET,AS24757,20190325T094312Z_AS24757_dbQwD5X8WhQqml6klNDodVZoBPaRTvQcte3GVekWb2fG5YrCWG,2019-03-25 09:43:11,0,10
51,green,False,False,ok,ET,AS24757,20190408T083132Z_AS24757_64GOyybsyMzbeqegJOpNpKbjyYgdlLyfmKXr2vNVlMLZleeUDm,2019-04-08 08:31:31,0,10
52,green,False,False,ok,ET,AS24757,20190323T142318Z_AS24757_KFl0pGE56LZlM6t3eKRA2ZuLWftfcAMXg6DJiPgvARjvaxMMdl,2019-03-23 06:54:36,0,10
53,green,False,False,ok,ET,AS24757,20190320T150918Z_AS24757_4m3DN4pYfmN6tY190mJW1xY4pc1r2tz7Mxxi7xEFoffOVXRZr7,2019-03-20 16:10:57,0,10
54,green,False,False,ok,ET,AS24757,20190320T080428Z_AS24757_butA4p3YjwxwJjNlmL3Kktes4uq8nEfecmrPyKL6Hpe4urSyNj,2019-03-20 06:24:50,0,10
55,green,False,False,ok,ET,AS24757,20190412T060643Z_AS24757_k4RKXvXOb6gFIUoHoUVhtKjcqQKZ8oFmLd46HwJ1EZqE1mHfjR,2019-04-12 06:06:41,0,10
56,red,False,False,blocked,ET,AS24757,20190618T095232Z_AS24757_5grKuPwONcKfMMy24glMW58fVfnysTapRnsBBEuvDsPh7xtfwW,2019-06-18 09:52:29,6,4
57,green,False,False,ok,ET,AS24757,20190318T061840Z_AS24757_YvsACTkpPocs531puPfTmFxbupQ2LIu4iye6SPQdveA15zsQRs,2019-03-18 06:18:39,0,10
