input,blocking_cnt,msm_cnt,measurement_start_time,probe_asn,blocking,accessible,http_experiment_failure,title_match,dns_consistency,dns_experiment_failure,body_proportion,body_length_match,headers_match,status_code_match,explorer
https://escort.guide,10,14,2018-10-02 12:35:42,36991,http-failure,FALSE,connection_reset,,consistent,,0,,,,https://explorer.ooni.io/measurement/20181002T123528Z_AS36991_h6IsvKjMEZMpKeYht3cAHtCd3u7PPzC8FZFHS9nlJsoUydfvsc?input=https://escort.guide
https://escort.guide,10,14,2018-10-03 6:52:24,36991,http-failure,FALSE,connection_reset,,consistent,,0,,,,https://explorer.ooni.io/measurement/20181003T064721Z_AS36991_JahqE7pUY3qLeJ7OS6SZkGFpQ58LT57yTkd32vj4PPlMXA1l6i?input=https://escort.guide
https://guysnightlife.com/,14,14,2018-09-27 15:04:09,20294,http-failure,FALSE,connection_reset,,consistent,,0,,,,https://explorer.ooni.io/measurement/20180927T145950Z_AS20294_W3wJwIEoKpPhSbDJ1MMEfs7mWeF60DXdXKY53cVFuNZ1GjJOSK?input=https://guysnightlife.com/
https://guysnightlife.com/,14,14,2018-09-27 15:24:27,37063,http-failure,FALSE,generic_timeout_error,,consistent,,0,,,,https://explorer.ooni.io/measurement/20180927T152416Z_AS37063_eokDo0Q8AHmlN6tNyffevyRiQBrxfCunolCDU4DuRpCESywZQh?input=https://guysnightlife.com/
https://guysnightlife.com/,14,14,2018-09-28 12:20:21,20294,http-failure,FALSE,connection_reset,,consistent,,0,,,,https://explorer.ooni.io/measurement/20180928T121825Z_AS20294_u4UJT5wAUffzlxKZGGic55hBJ7Rr3DTuyLmkiYuXaLDtUoA494?input=https://guysnightlife.com/
https://guysnightlife.com/,14,14,2018-09-28 17:18:15,20294,tcp_ip,FALSE,generic_timeout_error,,consistent,,0,,,,https://explorer.ooni.io/measurement/20180928T171730Z_AS20294_wszizC6nXsI8XmS0ohCCs1a5zKzvYLa2Yv3F6k0JKSz9Z9COei?input=https://guysnightlife.com/
https://guysnightlife.com/,14,14,2018-09-29 8:50:25,20294,http-failure,FALSE,connection_reset,,consistent,,0,,,,https://explorer.ooni.io/measurement/20180929T085004Z_AS20294_e05CresvHPhwpXFpBYDDAOjtDanFNusqbRMY28isH4SYONKnZR?input=https://guysnightlife.com/
https://guysnightlife.com/,14,14,2018-10-01 6:30:37,20294,http-failure,FALSE,connection_reset,,consistent,,0,,,,https://explorer.ooni.io/measurement/20181001T062449Z_AS20294_JqbaPPb0UwwGATqYfKQOhpj1e6gOkPfXD62efs9YkMTlYz5IXK?input=https://guysnightlife.com/
https://guysnightlife.com/,14,14,2018-10-01 8:08:56,36991,http-failure,FALSE,connection_reset,,consistent,,0,,,,https://explorer.ooni.io/measurement/20181001T080826Z_AS36991_xC2LmiTi5b8CFSa0wGIH4BSxjgtj03OLs6KQZMeBKYkbRguR71?input=https://guysnightlife.com/
https://guysnightlife.com/,14,14,2018-10-01 8:28:55,36991,http-failure,FALSE,connection_reset,,consistent,,0,,,,https://explorer.ooni.io/measurement/20181001T082856Z_AS36991_Iu8GXNUPgJgb9hG6EwyzHoROfU6Ou8Mgmf0kEDutk0UZ5MAX13?input=https://guysnightlife.com/
https://guysnightlife.com/,14,14,2018-10-01 11:06:39,20294,http-failure,FALSE,connection_reset,,consistent,,0,,,,https://explorer.ooni.io/measurement/20181001T110552Z_AS20294_T3BXxnYUnOhR5ESDNAKWOhkFg5zYdi0tuxnmXP2q5nwwsuE7yf?input=https://guysnightlife.com/
https://guysnightlife.com/,14,14,2018-10-01 11:33:06,29032,http-failure,FALSE,generic_timeout_error,,consistent,,0,,,,https://explorer.ooni.io/measurement/20181001T112819Z_AS29032_qClDqWloUdeuFHE3VU31kts9fNUwLw7bWXNBRZk6xE6xuxi777?input=https://guysnightlife.com/
https://guysnightlife.com/,14,14,2018-10-02 12:40:58,36991,http-failure,FALSE,connection_reset,,consistent,,0,,,,https://explorer.ooni.io/measurement/20181002T123528Z_AS36991_h6IsvKjMEZMpKeYht3cAHtCd3u7PPzC8FZFHS9nlJsoUydfvsc?input=https://guysnightlife.com/
https://guysnightlife.com/,14,14,2018-10-03 6:50:04,36991,http-failure,FALSE,connection_reset,,consistent,,0,,,,https://explorer.ooni.io/measurement/20181003T064721Z_AS36991_JahqE7pUY3qLeJ7OS6SZkGFpQ58LT57yTkd32vj4PPlMXA1l6i?input=https://guysnightlife.com/
https://guysnightlife.com/,14,14,2018-10-03 7:27:50,37122,tcp_ip,FALSE,connection_refused,,consistent,,0,,,,https://explorer.ooni.io/measurement/20181003T072706Z_AS37122_Avvf1DoQU8kCrEdDBXYDkWXtMOwVy3fODMALyHrwvHBhgqZeSI?input=https://guysnightlife.com/
https://kampalaexclusiveescorts.com/,13,14,2018-09-28 12:19:06,20294,http-failure,FALSE,connection_reset,,consistent,,0,,,,https://explorer.ooni.io/measurement/20180928T121825Z_AS20294_u4UJT5wAUffzlxKZGGic55hBJ7Rr3DTuyLmkiYuXaLDtUoA494?input=https://kampalaexclusiveescorts.com/
https://kampalaexclusiveescorts.com/,13,14,2018-09-28 12:22:13,20294,http-failure,FALSE,connection_reset,,consistent,,0,,,,https://explorer.ooni.io/measurement/20180928T122151Z_AS20294_Gjz9V2twlHNIGfzR4yhPO2Opwg97MPJRjY9frNbD9iNqXI2KJW?input=https://kampalaexclusiveescorts.com/
https://kampalaexclusiveescorts.com/,13,14,2018-09-28 17:22:00,20294,tcp_ip,FALSE,generic_timeout_error,,consistent,,0,,,,https://explorer.ooni.io/measurement/20180928T171730Z_AS20294_wszizC6nXsI8XmS0ohCCs1a5zKzvYLa2Yv3F6k0JKSz9Z9COei?input=https://kampalaexclusiveescorts.com/
https://kampalaexclusiveescorts.com/,13,14,2018-09-29 8:51:04,20294,http-failure,FALSE,connection_reset,,consistent,,0,,,,https://explorer.ooni.io/measurement/20180929T085004Z_AS20294_e05CresvHPhwpXFpBYDDAOjtDanFNusqbRMY28isH4SYONKnZR?input=https://kampalaexclusiveescorts.com/
https://kampalaexclusiveescorts.com/,13,14,2018-10-01 6:27:08,20294,http-failure,FALSE,connection_reset,,consistent,,0,,,,https://explorer.ooni.io/measurement/20181001T062449Z_AS20294_JqbaPPb0UwwGATqYfKQOhpj1e6gOkPfXD62efs9YkMTlYz5IXK?input=https://kampalaexclusiveescorts.com/
https://kampalaexclusiveescorts.com/,13,14,2018-10-01 8:09:14,36991,http-failure,FALSE,connection_reset,,consistent,,0,,,,https://explorer.ooni.io/measurement/20181001T080826Z_AS36991_xC2LmiTi5b8CFSa0wGIH4BSxjgtj03OLs6KQZMeBKYkbRguR71?input=https://kampalaexclusiveescorts.com/
https://kampalaexclusiveescorts.com/,13,14,2018-10-01 8:29:49,36991,http-failure,FALSE,connection_reset,,consistent,,0,,,,https://explorer.ooni.io/measurement/20181001T082856Z_AS36991_Iu8GXNUPgJgb9hG6EwyzHoROfU6Ou8Mgmf0kEDutk0UZ5MAX13?input=https://kampalaexclusiveescorts.com/
https://kampalaexclusiveescorts.com/,13,14,2018-10-01 11:28:20,29032,http-failure,FALSE,generic_timeout_error,,consistent,,0,,,,https://explorer.ooni.io/measurement/20181001T112819Z_AS29032_qClDqWloUdeuFHE3VU31kts9fNUwLw7bWXNBRZk6xE6xuxi777?input=https://kampalaexclusiveescorts.com/
https://kampalaexclusiveescorts.com/,13,14,2018-10-02 12:35:45,36991,http-failure,FALSE,connection_reset,,consistent,,0,,,,https://explorer.ooni.io/measurement/20181002T123528Z_AS36991_h6IsvKjMEZMpKeYht3cAHtCd3u7PPzC8FZFHS9nlJsoUydfvsc?input=https://kampalaexclusiveescorts.com/
https://kampalaexclusiveescorts.com/,13,14,2018-10-03 6:52:52,36991,http-failure,FALSE,connection_reset,,consistent,,0,,,,https://explorer.ooni.io/measurement/20181003T064721Z_AS36991_JahqE7pUY3qLeJ7OS6SZkGFpQ58LT57yTkd32vj4PPlMXA1l6i?input=https://kampalaexclusiveescorts.com/
https://massagerepublic.com/,13,14,2018-09-27 15:03:33,20294,http-failure,FALSE,connection_reset,,consistent,,0,,,,https://explorer.ooni.io/measurement/20180927T145950Z_AS20294_W3wJwIEoKpPhSbDJ1MMEfs7mWeF60DXdXKY53cVFuNZ1GjJOSK?input=https://massagerepublic.com/
https://massagerepublic.com/,13,14,2018-09-27 15:27:08,37063,http-failure,FALSE,generic_timeout_error,,consistent,,0,,,,https://explorer.ooni.io/measurement/20180927T152416Z_AS37063_eokDo0Q8AHmlN6tNyffevyRiQBrxfCunolCDU4DuRpCESywZQh?input=https://massagerepublic.com/
https://massagerepublic.com/,13,14,2018-09-28 12:20:17,20294,http-failure,FALSE,connection_reset,,consistent,,0,,,,https://explorer.ooni.io/measurement/20180928T121825Z_AS20294_u4UJT5wAUffzlxKZGGic55hBJ7Rr3DTuyLmkiYuXaLDtUoA494?input=https://massagerepublic.com/
https://massagerepublic.com/,13,14,2018-09-28 12:24:24,20294,http-failure,FALSE,generic_timeout_error,,consistent,,0,,,,https://explorer.ooni.io/measurement/20180928T122151Z_AS20294_Gjz9V2twlHNIGfzR4yhPO2Opwg97MPJRjY9frNbD9iNqXI2KJW?input=https://massagerepublic.com/
https://massagerepublic.com/,13,14,2018-09-28 17:19:50,20294,tcp_ip,FALSE,generic_timeout_error,,consistent,,0,,,,https://explorer.ooni.io/measurement/20180928T171730Z_AS20294_wszizC6nXsI8XmS0ohCCs1a5zKzvYLa2Yv3F6k0JKSz9Z9COei?input=https://massagerepublic.com/
https://massagerepublic.com/,13,14,2018-09-29 8:50:14,20294,http-failure,FALSE,connection_reset,,consistent,,0,,,,https://explorer.ooni.io/measurement/20180929T085004Z_AS20294_e05CresvHPhwpXFpBYDDAOjtDanFNusqbRMY28isH4SYONKnZR?input=https://massagerepublic.com/
https://massagerepublic.com/,13,14,2018-10-01 6:29:41,20294,http-failure,FALSE,connection_reset,,consistent,,0,,,,https://explorer.ooni.io/measurement/20181001T062449Z_AS20294_JqbaPPb0UwwGATqYfKQOhpj1e6gOkPfXD62efs9YkMTlYz5IXK?input=https://massagerepublic.com/
https://massagerepublic.com/,13,14,2018-10-01 8:08:48,36991,http-failure,FALSE,connection_reset,,consistent,,0,,,,https://explorer.ooni.io/measurement/20181001T080826Z_AS36991_xC2LmiTi5b8CFSa0wGIH4BSxjgtj03OLs6KQZMeBKYkbRguR71?input=https://massagerepublic.com/
https://massagerepublic.com/,13,14,2018-10-01 11:08:08,20294,http-failure,FALSE,connection_reset,,consistent,,0,,,,https://explorer.ooni.io/measurement/20181001T110552Z_AS20294_T3BXxnYUnOhR5ESDNAKWOhkFg5zYdi0tuxnmXP2q5nwwsuE7yf?input=https://massagerepublic.com/
https://massagerepublic.com/,13,14,2018-10-01 11:32:09,29032,tcp_ip,FALSE,generic_timeout_error,,consistent,,0,,,,https://explorer.ooni.io/measurement/20181001T112819Z_AS29032_qClDqWloUdeuFHE3VU31kts9fNUwLw7bWXNBRZk6xE6xuxi777?input=https://massagerepublic.com/
https://massagerepublic.com/,13,14,2018-10-02 12:35:58,36991,http-failure,FALSE,connection_reset,,consistent,,0,,,,https://explorer.ooni.io/measurement/20181002T123528Z_AS36991_h6IsvKjMEZMpKeYht3cAHtCd3u7PPzC8FZFHS9nlJsoUydfvsc?input=https://massagerepublic.com/
https://massagerepublic.com/,13,14,2018-10-03 6:48:13,36991,http-failure,FALSE,connection_reset,,consistent,,0,,,,https://explorer.ooni.io/measurement/20181003T064721Z_AS36991_JahqE7pUY3qLeJ7OS6SZkGFpQ58LT57yTkd32vj4PPlMXA1l6i?input=https://massagerepublic.com/
https://massagerepublic.com/,13,14,2018-10-03 7:28:17,37122,tcp_ip,FALSE,connection_refused,,consistent,,0,,,,https://explorer.ooni.io/measurement/20181003T072706Z_AS37122_Avvf1DoQU8kCrEdDBXYDkWXtMOwVy3fODMALyHrwvHBhgqZeSI?input=https://massagerepublic.com/
https://swingers.theadulthub.com/,12,14,2018-09-27 15:03:13,20294,http-failure,FALSE,connection_reset,,consistent,,0,,,,https://explorer.ooni.io/measurement/20180927T145950Z_AS20294_W3wJwIEoKpPhSbDJ1MMEfs7mWeF60DXdXKY53cVFuNZ1GjJOSK?input=https://swingers.theadulthub.com/
https://swingers.theadulthub.com/,12,14,2018-09-27 15:27:57,37063,http-failure,FALSE,generic_timeout_error,,consistent,,0,,,,https://explorer.ooni.io/measurement/20180927T152416Z_AS37063_eokDo0Q8AHmlN6tNyffevyRiQBrxfCunolCDU4DuRpCESywZQh?input=https://swingers.theadulthub.com/
https://swingers.theadulthub.com/,12,14,2018-09-28 12:20:28,20294,http-failure,FALSE,connection_reset,,consistent,,0,,,,https://explorer.ooni.io/measurement/20180928T121825Z_AS20294_u4UJT5wAUffzlxKZGGic55hBJ7Rr3DTuyLmkiYuXaLDtUoA494?input=https://swingers.theadulthub.com/
https://swingers.theadulthub.com/,12,14,2018-09-28 12:21:56,20294,http-failure,FALSE,connection_reset,,consistent,,0,,,,https://explorer.ooni.io/measurement/20180928T122151Z_AS20294_Gjz9V2twlHNIGfzR4yhPO2Opwg97MPJRjY9frNbD9iNqXI2KJW?input=https://swingers.theadulthub.com/
https://swingers.theadulthub.com/,12,14,2018-09-28 17:17:30,20294,tcp_ip,FALSE,generic_timeout_error,,consistent,,0,,,,https://explorer.ooni.io/measurement/20180928T171730Z_AS20294_wszizC6nXsI8XmS0ohCCs1a5zKzvYLa2Yv3F6k0JKSz9Z9COei?input=https://swingers.theadulthub.com/
https://swingers.theadulthub.com/,12,14,2018-09-29 8:51:32,20294,http-failure,FALSE,connection_reset,,consistent,,0,,,,https://explorer.ooni.io/measurement/20180929T085004Z_AS20294_e05CresvHPhwpXFpBYDDAOjtDanFNusqbRMY28isH4SYONKnZR?input=https://swingers.theadulthub.com/
