hop1	ms1	hop2	ms2	hop3	ms3	hop4	ms4	hop5	ms5	hop6	ms6	hop7	ms7	hop8	ms8	hop9	ms9	hop10	ms10	hop11	ms11
37.218.242.254	0.2	195.190.28.1	0.3	80.249.212.8	76.7	200.16.69.46	76.7	200.16.71.86	125.3	10.82.1.2	125.2	*.*.*.*	0	10.82.1.74	126.9	172.26.8.125	127.0	CPE	159.2	CPE:ACK	163.8
*.*.*.*	0	*.*.*.*	0	80.249.212.8	76.6	200.16.69.46	76.7	200.16.71.86	125.3	10.82.1.10	129.6	*.*.*.*	0	10.82.1.74	130.0	172.26.8.125	131.1	CPE	163.1	CPE:ACK	163.9
*.*.*.*	0	*.*.*.*	0	80.249.212.8	76.7	200.16.69.46	76.9	200.16.71.86	125.6	10.82.1.6	125.4	*.*.*.*	0	10.82.1.154	127.5	172.26.8.61	127.3	CPE	159.8	CPE:ACK	159.6
37.218.242.254	0.2	195.190.28.1	0.3	80.249.212.8	76.7	200.16.69.46	76.8	200.16.71.86	125.3	10.82.1.6	125.2	*.*.*.*	0	10.82.1.74	125.9	172.26.8.125	127.2	CPE	159.5	CPE:ACK	158.2
*.*.*.*	0	*.*.*.*	0	80.249.212.8	76.8	200.16.69.46	81.6	200.16.71.86	126.2	10.82.1.6	125.3	*.*.*.*	0	10.82.1.74	125.8	172.26.8.93	126.6	CPE	159.5	CPE:ACK	159.5
*.*.*.*	0	*.*.*.*	0	80.249.212.8	77.9	200.16.69.46	76.7	200.16.71.86	125.3	10.82.1.2	125.4	*.*.*.*	0	10.82.1.74	126.0	172.26.8.93	126.7	CPE	158.6	CPE:ACK	158.8
37.218.242.254	0.3	195.190.28.1	0.3	80.249.212.8	76.8	200.16.69.46	77.0	200.16.71.86	125.7	10.82.1.6	125.3	*.*.*.*	0	10.82.1.154	128.1	172.26.8.29	126.8	CPE	159.1	CPE:ACK	163.8
*.*.*.*	0	*.*.*.*	0	80.249.212.8	110.4	200.16.69.46	77.0	200.16.71.86	162.9	10.82.1.10	129.8	*.*.*.*	0	10.82.1.74	130.1	172.26.8.29	130.6	CPE	162.4	CPE:ACK	167.2
*.*.*.*	0	*.*.*.*	0	80.249.212.8	77.0	200.16.69.46	76.8	200.16.71.86	129.4	10.82.1.2	125.4	*.*.*.*	0	10.82.1.154	125.9	172.26.8.29	126.8	CPE	159.6	CPE:ACK	158.7
37.218.242.254	0.2	195.190.28.1	0.2	80.249.212.8	76.7	200.16.69.46	76.6	200.16.71.86	125.6	10.82.1.6	125.4	*.*.*.*	0	10.82.1.74	125.6	172.26.8.29	126.4	CPE	160.0	CPE:ACK	159.2
*.*.*.*	0	*.*.*.*	0	80.249.212.8	92.4	200.16.69.46	76.8	200.16.71.86	125.5	10.82.1.2	125.3	*.*.*.*	0	10.82.1.74	125.7	172.26.8.93	126.5	CPE	158.4	CPE:ACK	159.5
37.218.242.254	0.2	195.190.28.1	0.2	80.249.212.8	76.6	200.16.69.46	76.7	200.16.71.86	125.6	10.82.1.10	129.6	*.*.*.*	0	10.82.1.74	160.9	172.26.8.61	131.1	CPE	164.1	CPE:ACK	163.9
*.*.*.*	0	*.*.*.*	0	80.249.212.8	76.9	200.16.69.46	76.7	200.16.71.86	125.5	10.82.1.6	136.2	*.*.*.*	0	10.82.1.74	126.1	172.26.8.61	127.1	CPE	159.6	CPE:ACK	159.9
*.*.*.*	0	*.*.*.*	0	80.249.212.8	87.6	200.16.69.46	76.7	200.16.71.86	125.3	10.82.1.6	126.7	*.*.*.*	0	10.82.1.74	126.0	172.26.8.29	126.5	CPE	159.8	CPE:ACK	160.2
37.218.242.254	0.2	195.190.28.1	0.3	80.249.212.8	76.7	200.16.69.46	76.9	200.16.71.86	125.5	10.82.1.2	125.5	*.*.*.*	0	10.82.1.74	125.8	172.26.8.93	126.8	CPE	159.3	CPE:ACK	159.2
*.*.*.*	0	*.*.*.*	0	80.249.212.8	77.9	200.16.69.46	76.9	200.16.71.86	125.7	10.82.1.10	129.5	*.*.*.*	0	10.82.1.74	129.9	172.26.8.61	131.1	CPE	162.9	CPE:ACK	163.1
*.*.*.*	0	*.*.*.*	0	80.249.212.8	76.8	200.16.69.46	76.7	200.16.71.86	125.5	10.82.1.2	125.1	*.*.*.*	0	10.82.1.154	126.4	172.26.8.61	127.2	CPE	158.7	CPE:ACK	159.1
37.218.242.254	0.2	195.190.28.1	0.2	80.249.212.8	76.7	200.16.69.46	76.7	200.16.71.86	125.2	10.82.1.6	125.3	*.*.*.*	0	10.82.1.74	125.7	172.26.8.125	127.1	CPE	159.6	CPE:ACK	160.0
*.*.*.*	0	*.*.*.*	0	80.249.212.8	76.7	200.16.69.46	76.7	200.16.71.86	126.9	10.82.1.6	125.4	*.*.*.*	0	10.82.1.154	125.7	172.26.8.125	126.9	CPE	158.1	CPE:ACK	160.0
*.*.*.*	0	*.*.*.*	0	80.249.212.8	76.8	200.16.69.46	76.7	200.16.71.86	125.9	10.82.1.6	126.3	*.*.*.*	0	10.82.1.74	125.7	172.26.8.125	127.0	CPE	158.9	CPE:ACK	160.7
37.218.242.254	0.3	195.190.28.1	0.2	80.249.212.8	77.2	200.16.69.46	76.9	200.16.71.86	125.6	10.82.1.2	125.4	*.*.*.*	0	10.82.1.74	144.4	172.26.8.29	126.5	CPE	158.6	CPE:ACK	158.9
*.*.*.*	0	*.*.*.*	0	80.249.212.8	76.7	200.16.69.46	76.7	200.16.71.86	125.4	10.82.1.10	129.5	*.*.*.*	0	10.82.1.74	130.0	172.26.8.29	130.8	CPE	164.1	CPE:ACK	163.8
*.*.*.*	0	*.*.*.*	0	80.249.212.8	76.7	200.16.69.46	76.7	200.16.71.86	125.5	10.82.1.2	125.1	*.*.*.*	0	10.82.1.154	125.7	172.26.8.61	127.4	CPE	159.1	CPE:ACK	159.1
37.218.242.254	0.3	195.190.28.1	0.3	80.249.212.8	76.8	200.16.69.46	78.8	200.16.71.86	150.4	10.82.1.6	125.4	*.*.*.*	0	10.82.1.74	125.8	172.26.8.61	126.9	CPE	159.1	CPE:ACK	159.7
*.*.*.*	0	*.*.*.*	0	80.249.212.8	76.7	200.16.69.46	76.9	200.16.71.86	134.8	10.82.1.6	125.4	*.*.*.*	0	10.82.1.154	125.8	172.26.8.93	126.4	CPE	158.8	CPE:ACK	158.5
37.218.242.254	0.3	195.190.28.1	0.2	80.249.212.8	76.8	200.16.69.46	76.8	200.16.71.86	159.1	10.82.1.2	125.3	*.*.*.*	0	10.82.1.154	125.7	172.26.8.61	127.1	CPE	159.6	CPE:ACK	159.7
*.*.*.*	0	*.*.*.*	0	80.249.212.8	76.7	200.16.69.46	76.6	200.16.71.86	145.0	10.82.1.6	125.4	*.*.*.*	0	10.82.1.74	125.6	172.26.8.61	127.0	CPE	160.0	CPE:ACK	159.7
*.*.*.*	0	*.*.*.*	0	80.249.212.8	76.7	200.16.69.46	76.8	200.16.71.86	125.4	10.82.1.6	125.6	*.*.*.*	0	10.82.1.74	125.7	172.26.8.29	126.6	CPE	159.0	CPE:ACK	163.5
37.218.242.254	0.2	195.190.28.1	0.2	80.249.212.8	76.7	200.16.69.46	77.1	200.16.71.86	125.6	10.82.1.10	129.5	*.*.*.*	0	10.82.1.74	130.0	172.26.8.125	131.2	CPE	163.9	CPE:ACK	163.9
*.*.*.*	0	*.*.*.*	0	80.249.212.8	77.6	200.16.69.46	76.7	200.16.71.86	133.5	10.82.1.10	129.5	*.*.*.*	0	10.82.1.74	129.9	172.26.8.125	131.2	CPE	163.0	CPE:ACK	162.8
*.*.*.*	0	*.*.*.*	0	80.249.212.8	76.8	200.16.69.46	76.6	200.16.71.86	125.3	10.82.1.6	125.3	*.*.*.*	0	10.82.1.154	126.0	172.26.8.29	126.9	CPE	159.8	CPE:ACK	159.7
37.218.242.254	0.2	195.190.28.1	0.3	80.249.212.8	76.9	200.16.69.46	84.1	200.16.71.86	125.4	10.82.1.6	125.7	*.*.*.*	0	10.82.1.74	125.8	172.26.8.29	126.6	CPE	159.6	CPE:ACK	158.5
*.*.*.*	0	*.*.*.*	0	80.249.212.8	76.7	200.16.69.46	76.8	200.16.71.86	125.8	10.82.1.10	129.4	*.*.*.*	0	10.82.1.74	129.9	172.26.8.93	131.2	CPE	163.1	CPE:ACK	164.2
*.*.*.*	0	*.*.*.*	0	80.249.212.8	80.7	200.16.69.46	76.8	200.16.71.86	125.5	10.82.1.10	129.6	*.*.*.*	0	10.82.1.74	129.9	172.26.8.125	131.4	CPE	162.0	CPE:ACK	164.1
37.218.242.254	0.2	195.190.28.1	0.3	80.249.212.8	76.8	200.16.69.46	76.9	200.16.71.86	145.8	10.82.1.10	130.8	*.*.*.*	0	10.82.1.74	129.9	172.26.8.93	130.9	CPE	163.8	CPE:ACK	167.6
*.*.*.*	0	*.*.*.*	0	80.249.212.8	76.9	200.16.69.46	76.8	200.16.71.86	150.9	10.82.1.2	125.4	*.*.*.*	0	10.82.1.154	125.9	172.26.8.93	126.8	CPE	159.1	CPE:ACK	159.9
*.*.*.*	0	*.*.*.*	0	80.249.212.8	76.7	200.16.69.46	76.7	200.16.71.86	125.4	10.82.1.2	125.4	*.*.*.*	0	10.82.1.154	125.6	172.26.8.125	127.7	CPE	159.0	CPE:ACK	158.6
37.218.242.254	0.2	195.190.28.1	0.2	80.249.212.8	76.7	200.16.69.46	76.6	200.16.71.86	132.7	10.82.1.2	125.2	*.*.*.*	0	10.82.1.154	127.4	172.26.8.29	126.5	CPE	159.9	CPE:ACK	159.3
*.*.*.*	0	*.*.*.*	0	80.249.212.8	76.8	200.16.69.46	77.0	200.16.71.86	132.9	10.82.1.2	125.4	*.*.*.*	0	10.82.1.154	125.8	172.26.8.125	128.5	CPE	158.5	CPE:ACK	159.2
*.*.*.*	0	*.*.*.*	0	80.249.212.8	76.7	200.16.69.46	76.7	200.16.71.86	125.3	10.82.1.6	125.6	*.*.*.*	0	10.82.1.154	125.7	172.26.8.125	127.2	CPE	158.9	CPE:ACK	159.7
37.218.242.254	0.2	195.190.28.1	0.3	80.249.212.8	76.7	200.16.69.46	76.7	200.16.71.86	125.4	10.82.1.10	129.6	*.*.*.*	0	10.82.1.74	129.8	172.26.8.29	130.8	CPE	163.5	CPE:ACK	168.0
*.*.*.*	0	*.*.*.*	0	80.249.212.8	76.8	200.16.69.46	76.7	200.16.71.86	160.0	10.82.1.6	125.4	*.*.*.*	0	10.82.1.154	125.7	172.26.8.93	126.5	CPE	159.1	CPE:ACK	159.6
37.218.242.254	0.2	195.190.28.1	0.2	80.249.212.8	76.8	200.16.69.46	76.9	200.16.71.86	125.7	10.82.1.6	125.6	*.*.*.*	0	10.82.1.154	125.7	172.26.8.125	127.4	CPE	160.1	CPE:ACK	159.2
*.*.*.*	0	*.*.*.*	0	80.249.212.8	76.6	200.16.69.46	76.7	200.16.71.86	135.6	10.82.1.6	125.6	*.*.*.*	0	10.82.1.74	125.8	172.26.8.29	126.5	CPE	158.8	CPE:ACK	163.2
*.*.*.*	0	*.*.*.*	0	80.249.212.8	76.7	200.16.69.46	76.7	200.16.71.86	174.3	10.82.1.6	125.3	*.*.*.*	0	10.82.1.74	125.7	172.26.8.29	126.6	CPE	159.5	CPE:ACK	160.2
37.218.242.254	0.2	195.190.28.1	0.2	80.249.212.8	76.7	200.16.69.46	76.8	*.*.*.*	0	10.82.1.2	125.2	*.*.*.*	0	10.82.1.74	125.7	172.26.8.29	126.6	CPE	160.1	CPE:ACK	163.2
*.*.*.*	0	*.*.*.*	0	80.249.212.8	78.8	200.16.69.46	76.8	200.16.71.86	153.2	*.*.*.*	0	*.*.*.*	0	10.82.1.74	129.9	172.26.8.29	131.5	CPE	163.8	CPE:ACK	162.7
*.*.*.*	0	*.*.*.*	0	80.249.212.8	81.4	200.16.69.46	76.9	200.16.71.86	167.1	10.82.1.6	125.5	*.*.*.*	0	10.82.1.74	125.8	172.26.8.61	127.2	CPE	159.1	CPE:ACK	158.5
37.218.242.254	0.2	195.190.28.1	0.2	80.249.212.8	76.8	200.16.69.46	76.8	200.16.71.86	147.9	10.82.1.6	125.6	*.*.*.*	0	10.82.1.154	125.7	172.26.8.61	127.3	CPE	159.9	CPE:ACK	159.0
*.*.*.*	0	*.*.*.*	0	80.249.212.8	76.8	200.16.69.46	77.0	200.16.71.86	156.9	10.82.1.6	125.4	*.*.*.*	0	10.82.1.154	125.7	172.26.8.29	126.6	CPE	159.7	CPE:ACK	158.9
*.*.*.*	0	*.*.*.*	0	80.249.212.8	76.8	200.16.69.46	76.7	200.16.71.86	125.3	10.82.1.6	125.5	*.*.*.*	0	10.82.1.154	129.9	172.26.8.29	126.6	CPE	160.1	CPE:ACK	158.5
37.218.242.254	0.2	195.190.28.1	0.2	80.249.212.8	76.7	200.16.69.46	76.8	200.16.71.86	125.4	10.82.1.2	125.4	*.*.*.*	0	10.82.1.74	141.2	172.26.8.29	126.5	CPE	159.8	CPE:ACK	159.0
*.*.*.*	0	*.*.*.*	0	80.249.212.8	76.8	200.16.69.46	76.8	200.16.71.86	125.6	10.82.1.10	129.6	*.*.*.*	0	10.82.1.74	130.1	172.26.8.125	131.3	CPE	163.1	CPE:ACK	162.9
*.*.*.*	0	*.*.*.*	0	80.249.212.8	76.8	200.16.69.46	76.8	200.16.71.86	130.8	10.82.1.6	125.5	*.*.*.*	0	10.82.1.74	128.6	172.26.8.93	128.1	CPE	158.3	CPE:ACK	159.0
37.218.242.254	0.2	195.190.28.1	0.2	80.249.212.8	76.7	200.16.69.46	76.7	200.16.71.86	125.3	10.82.1.6	125.6	*.*.*.*	0	10.82.1.154	125.8	172.26.8.93	126.8	CPE	158.8	CPE:ACK	159.9
*.*.*.*	0	*.*.*.*	0	80.249.212.8	77.0	200.16.69.46	89.2	200.16.71.86	125.3	10.82.1.2	125.3	*.*.*.*	0	10.82.1.154	125.6	172.26.8.125	127.0	CPE	158.5	CPE:ACK	159.7
37.218.242.254	0.2	195.190.28.1	0.2	80.249.212.8	76.6	200.16.69.46	76.7	200.16.71.86	125.4	10.82.1.6	125.5	*.*.*.*	0	10.82.1.154	125.6	172.26.8.61	127.1	CPE	158.5	CPE:ACK	159.8
*.*.*.*	0	*.*.*.*	0	80.249.212.8	76.8	200.16.69.46	76.7	200.16.71.86	125.4	10.82.1.10	129.5	*.*.*.*	0	10.82.1.74	130.7	172.26.8.29	130.9	CPE	163.5	CPE:ACK	164.2
*.*.*.*	0	*.*.*.*	0	80.249.212.8	82.2	200.16.69.46	76.9	200.16.71.86	126.6	10.82.1.6	125.6	*.*.*.*	0	10.82.1.74	125.7	172.26.8.125	126.7	CPE	158.1	CPE:ACK	159.1
37.218.242.254	0.2	195.190.28.1	0.2	80.249.212.8	79.1	200.16.69.46	76.6	200.16.71.86	125.4	10.82.1.10	129.6	*.*.*.*	0	10.82.1.74	154.9	172.26.8.93	131.0	CPE	163.2	CPE:ACK	164.0
*.*.*.*	0	*.*.*.*	0	80.249.212.8	77.7	200.16.69.46	76.9	200.16.71.86	125.4	10.82.1.10	129.6	*.*.*.*	0	10.82.1.74	130.0	172.26.8.93	130.8	CPE	163.3	CPE:ACK	163.1
*.*.*.*	0	*.*.*.*	0	80.249.212.8	76.7	200.16.69.46	76.7	200.16.71.86	125.3	10.82.1.10	129.7	*.*.*.*	0	10.82.1.74	129.9	172.26.8.93	130.7	CPE	162.6	CPE:ACK	163.7
37.218.242.254	0.2	195.190.28.1	0.2	80.249.212.8	76.7	200.16.69.46	76.6	200.16.71.86	125.4	10.82.1.2	125.2	*.*.*.*	0	10.82.1.154	125.7	172.26.8.29	128.6	CPE	158.8	CPE:ACK	164.3
*.*.*.*	0	*.*.*.*	0	80.249.212.8	77.0	200.16.69.46	76.8	200.16.71.86	125.4	10.82.1.10	129.8	*.*.*.*	0	10.82.1.74	129.7	172.26.8.29	130.6	CPE	162.4	CPE:ACK	163.2
*.*.*.*	0	*.*.*.*	0	80.249.212.8	76.8	200.16.69.46	76.8	200.16.71.86	126.0	10.82.1.2	125.2	*.*.*.*	0	10.82.1.74	125.7	172.26.8.61	126.9	CPE	158.8	CPE:ACK	159.6
37.218.242.254	0.2	195.190.28.1	0.2	80.249.212.8	76.8	200.16.69.46	76.8	200.16.71.86	125.8	10.82.1.6	125.4	*.*.*.*	0	10.82.1.154	167.3	172.26.8.29	126.8	CPE	158.2	CPE:ACK	159.2
*.*.*.*	0	*.*.*.*	0	80.249.212.8	76.7	200.16.69.46	76.8	200.16.71.86	125.3	10.82.1.2	125.1	*.*.*.*	0	10.82.1.74	125.5	172.26.8.61	126.9	CPE	158.1	CPE:ACK	159.1
*.*.*.*	0	*.*.*.*	0	80.249.212.8	76.7	200.16.69.46	76.7	200.16.71.86	125.4	10.82.1.6	125.6	*.*.*.*	0	10.82.1.74	126.0	172.26.8.125	127.1	CPE	159.6	CPE:ACK	159.5
37.218.242.254	0.1	195.190.28.1	0.2	80.249.212.8	76.6	200.16.69.46	76.8	200.16.71.86	125.5	10.82.1.2	125.3	*.*.*.*	0	10.82.1.74	127.8	172.26.8.29	127.8	CPE	158.5	CPE:ACK	158.9
*.*.*.*	0	*.*.*.*	0	80.249.212.8	76.7	200.16.69.46	76.7	200.16.71.86	125.5	10.82.1.10	129.6	*.*.*.*	0	10.82.1.74	130.0	172.26.8.29	130.6	CPE	164.1	CPE:ACK	162.7
*.*.*.*	0	*.*.*.*	0	80.249.212.8	76.9	200.16.69.46	76.7	200.16.71.86	125.4	10.82.1.2	125.2	*.*.*.*	0	10.82.1.154	125.7	172.26.8.125	127.1	CPE	159.1	CPE:ACK	159.1
37.218.242.254	0.2	195.190.28.1	0.2	80.249.212.8	76.8	200.16.69.46	76.7	200.16.71.86	125.9	10.82.1.6	125.7	*.*.*.*	0	10.82.1.74	125.9	172.26.8.93	126.7	CPE	159.7	CPE:ACK	159.2
*.*.*.*	0	*.*.*.*	0	80.249.212.8	76.7	200.16.69.46	85.4	200.16.71.86	156.8	10.82.1.6	125.7	*.*.*.*	0	10.82.1.154	125.7	172.26.8.61	127.1	CPE	159.6	CPE:ACK	159.2
37.218.242.254	0.2	195.190.28.1	0.2	80.249.212.8	76.9	200.16.69.46	87.3	200.16.71.86	125.2	10.82.1.6	125.5	*.*.*.*	0	10.82.1.74	151.7	172.26.8.93	126.8	CPE	158.8	CPE:ACK	159.7
*.*.*.*	0	*.*.*.*	0	80.249.212.8	76.8	200.16.69.46	76.8	200.16.71.86	126.5	10.82.1.10	129.6	*.*.*.*	0	10.82.1.74	129.9	172.26.8.93	130.8	CPE	163.6	CPE:ACK	163.4
*.*.*.*	0	*.*.*.*	0	80.249.212.8	76.7	200.16.69.46	76.6	200.16.71.86	125.2	10.82.1.2	125.2	*.*.*.*	0	10.82.1.74	125.6	172.26.8.61	126.8	CPE	158.3	CPE:ACK	159.0
37.218.242.254	0.2	195.190.28.1	0.3	80.249.212.8	76.8	200.16.69.46	76.7	200.16.71.86	125.5	10.82.1.2	126.4	*.*.*.*	0	10.82.1.74	171.0	172.26.8.125	126.8	CPE	159.2	CPE:ACK	160.1
*.*.*.*	0	*.*.*.*	0	80.249.212.8	76.7	200.16.69.46	76.7	200.16.71.86	129.2	10.82.1.2	125.3	*.*.*.*	0	10.82.1.154	125.7	172.26.8.29	126.8	CPE	159.0	CPE:ACK	159.8
*.*.*.*	0	*.*.*.*	0	80.249.212.8	76.7	200.16.69.46	76.8	200.16.71.86	125.6	10.82.1.2	125.1	*.*.*.*	0	10.82.1.154	125.7	172.26.8.29	126.6	CPE	159.2	CPE:ACK	159.3
37.218.242.254	0.2	195.190.28.1	0.2	80.249.212.8	76.7	200.16.69.46	76.7	200.16.71.86	125.5	10.82.1.10	129.4	*.*.*.*	0	10.82.1.74	130.0	172.26.8.61	131.3	CPE	163.6	CPE:ACK	163.6
*.*.*.*	0	*.*.*.*	0	80.249.212.8	112.4	200.16.69.46	76.8	200.16.71.86	125.5	10.82.1.10	129.6	*.*.*.*	0	10.82.1.74	129.9	172.26.8.93	130.7	CPE	163.1	CPE:ACK	164.0
*.*.*.*	0	*.*.*.*	0	80.249.212.8	76.9	200.16.69.46	76.7	200.16.71.86	125.5	10.82.1.6	125.5	*.*.*.*	0	10.82.1.74	127.0	172.26.8.61	127.1	CPE	158.9	CPE:ACK	159.4
37.218.242.254	0.2	195.190.28.1	0.3	80.249.212.8	76.8	200.16.69.46	76.8	200.16.71.86	125.5	10.82.1.10	129.7	*.*.*.*	0	10.82.1.74	130.7	172.26.8.29	130.9	CPE	163.8	CPE:ACK	163.5
*.*.*.*	0	*.*.*.*	0	80.249.212.8	88.8	200.16.69.46	76.7	200.16.71.86	125.4	10.82.1.10	129.6	*.*.*.*	0	10.82.1.74	129.9	172.26.8.125	130.9	CPE	163.7	CPE:ACK	162.3
37.218.242.254	0.2	*.*.*.*	0	80.249.212.8	76.8	200.16.69.46	76.8	200.16.71.86	125.5	10.82.1.10	129.6	*.*.*.*	0	*.*.*.*	0	172.26.8.29	130.8	CPE	163.2	CPE:ACK	161.9
*.*.*.*	0	195.190.28.1	0.2	80.249.212.8	76.7	200.16.69.46	76.6	200.16.71.86	125.3	10.82.1.6	125.9	*.*.*.*	0	10.82.1.154	125.5	172.26.8.29	127.0	CPE	159.8	CPE:ACK	159.4
*.*.*.*	0	*.*.*.*	0	80.249.212.8	78.0	200.16.69.46	76.8	200.16.71.86	143.8	10.82.1.10	130.4	*.*.*.*	0	10.82.1.74	130.4	172.26.8.93	130.8	CPE	163.3	CPE:ACK	162.8
37.218.242.254	0.2	195.190.28.1	0.2	80.249.212.8	76.7	200.16.69.46	76.6	200.16.71.86	125.4	10.82.1.6	125.4	*.*.*.*	0	10.82.1.74	125.6	172.26.8.125	126.8	CPE	159.3	CPE:ACK	160.1
*.*.*.*	0	*.*.*.*	0	80.249.212.8	76.9	200.16.69.46	77.0	200.16.71.86	125.7	10.82.1.10	129.7	*.*.*.*	0	10.82.1.74	130.1	172.26.8.93	130.7	CPE	164.1	CPE:ACK	162.8
*.*.*.*	0	*.*.*.*	0	80.249.212.8	76.8	200.16.69.46	76.8	200.16.71.86	126.4	10.82.1.10	129.6	*.*.*.*	0	10.82.1.74	130.0	172.26.8.93	130.7	CPE	163.8	CPE:ACK	163.2
37.218.242.254	0.2	195.190.28.1	0.2	80.249.212.8	76.7	200.16.69.46	76.7	200.16.71.86	125.4	10.82.1.2	125.1	*.*.*.*	0	10.82.1.154	125.8	172.26.8.61	127.3	CPE	158.4	CPE:ACK	159.3
*.*.*.*	0	*.*.*.*	0	80.249.212.8	76.8	200.16.69.46	76.7	200.16.71.86	125.7	10.82.1.10	129.5	*.*.*.*	0	10.82.1.74	129.7	172.26.8.125	131.2	CPE	163.5	CPE:ACK	162.7
*.*.*.*	0	*.*.*.*	0	80.249.212.8	81.7	200.16.69.46	77.0	200.16.71.86	125.7	10.82.1.10	129.5	*.*.*.*	0	10.82.1.74	129.9	172.26.8.125	130.9	CPE	162.8	CPE:ACK	163.8
37.218.242.254	0.2	195.190.28.1	0.2	80.249.212.8	76.8	200.16.69.46	76.9	200.16.71.86	125.5	10.82.1.10	129.8	*.*.*.*	0	10.82.1.74	130.0	172.26.8.29	130.9	CPE	161.6	CPE:ACK	163.8
*.*.*.*	0	*.*.*.*	0	80.249.212.8	76.8	200.16.69.46	76.7	200.16.71.86	125.3	10.82.1.6	125.9	*.*.*.*	0	10.82.1.74	125.8	172.26.8.61	127.2	CPE	159.4	CPE:ACK	160.4
*.*.*.*	0	*.*.*.*	0	80.249.212.8	76.7	200.16.69.46	76.7	200.16.71.86	125.4	10.82.1.10	129.5	*.*.*.*	0	10.82.1.74	129.9	172.26.8.93	132.9	CPE	163.0	CPE:ACK	164.1
37.218.242.254	0.2	195.190.28.1	0.2	80.249.212.8	76.7	200.16.69.46	76.9	200.16.71.86	125.5	10.82.1.10	129.5	*.*.*.*	0	10.82.1.74	130.5	172.26.8.125	131.2	CPE	163.9	CPE:ACK	164.0
*.*.*.*	0	*.*.*.*	0	80.249.212.8	76.8	200.16.69.46	76.5	200.16.71.86	125.4	10.82.1.2	125.1	*.*.*.*	0	10.82.1.154	125.7	172.26.8.93	126.7	CPE	159.5	CPE:ACK	159.0
*.*.*.*	0	*.*.*.*	0	80.249.212.8	76.6	200.16.69.46	76.8	200.16.71.86	130.0	10.82.1.6	131.1	*.*.*.*	0	10.82.1.74	129.7	172.26.8.29	127.3	CPE	159.0	CPE:ACK	158.8
37.218.242.254	0.3	195.190.28.1	0.2	80.249.212.8	76.7	200.16.69.46	76.8	200.16.71.86	125.9	10.82.1.10	129.7	*.*.*.*	0	10.82.1.74	129.9	172.26.8.61	131.5	CPE	164.2	CPE:ACK	163.3
*.*.*.*	0	*.*.*.*	0	80.249.212.8	76.8	200.16.69.46	76.7	200.16.71.86	155.3	10.82.1.6	125.3	*.*.*.*	0	10.82.1.154	125.8	172.26.8.29	126.7	CPE	159.1	CPE:ACK	163.4
37.218.242.254	0.2	195.190.28.1	0.3	80.249.212.8	76.7	200.16.69.46	76.7	200.16.71.86	125.4	10.82.1.6	125.7	*.*.*.*	0	10.82.1.154	125.9	172.26.8.61	127.3	CPE	159.6	CPE:ACK	159.2
*.*.*.*	0	*.*.*.*	0	80.249.212.8	77.4	200.16.69.46	76.7	200.16.71.86	125.3	10.82.1.10	129.6	*.*.*.*	0	10.82.1.74	129.9	172.26.8.29	130.8	CPE	162.5	CPE:ACK	163.4
*.*.*.*	0	*.*.*.*	0	80.249.212.8	76.7	200.16.69.46	76.7	200.16.71.86	125.4	10.82.1.6	125.5	*.*.*.*	0	10.82.1.154	125.9	172.26.8.29	128.8	CPE	162.9	CPE:ACK	161.3
37.218.242.254	0.2	195.190.28.1	0.2	80.249.212.8	76.8	200.16.69.46	76.7	200.16.71.86	125.3	10.82.1.6	125.5	*.*.*.*	0	10.82.1.74	126.9	172.26.8.125	126.9	CPE	159.0	CPE:ACK	164.1
*.*.*.*	0	*.*.*.*	0	80.249.212.8	77.2	200.16.69.46	76.7	200.16.71.86	155.5	10.82.1.2	126.0	*.*.*.*	0	10.82.1.154	125.8	172.26.8.93	126.9	CPE	159.9	CPE:ACK	159.6
*.*.*.*	0	*.*.*.*	0	80.249.212.8	76.9	200.16.69.46	76.7	200.16.71.86	125.5	10.82.1.6	125.7	*.*.*.*	0	10.82.1.154	125.7	172.26.8.61	130.3	CPE	159.3	CPE:ACK	162.7
37.218.242.254	0.2	195.190.28.1	0.2	80.249.212.8	76.8	200.16.69.46	87.1	200.16.71.86	125.8	10.82.1.10	129.5	*.*.*.*	0	10.82.1.74	130.2	172.26.8.125	131.3	CPE	163.1	CPE:ACK	163.9
*.*.*.*	0	*.*.*.*	0	80.249.212.8	76.8	200.16.69.46	76.7	200.16.71.86	125.2	10.82.1.6	125.4	*.*.*.*	0	10.82.1.74	125.8	172.26.8.29	126.8	CPE	158.5	CPE:ACK	159.6
*.*.*.*	0	*.*.*.*	0	80.249.212.8	76.6	200.16.69.46	76.6	200.16.71.86	126.9	10.82.1.10	129.4	*.*.*.*	0	10.82.1.74	130.0	172.26.8.93	130.6	CPE	163.6	CPE:ACK	163.0
37.218.242.254	0.2	195.190.28.1	0.3	80.249.212.8	76.7	200.16.69.46	76.8	200.16.71.86	125.3	10.82.1.10	129.6	*.*.*.*	0	10.82.1.74	136.9	172.26.8.125	131.1	CPE	163.4	CPE:ACK	164.2
*.*.*.*	0	*.*.*.*	0	80.249.212.8	76.8	200.16.69.46	87.4	200.16.71.86	125.3	10.82.1.10	129.6	*.*.*.*	0	10.82.1.74	130.0	172.26.8.29	130.7	CPE	163.9	CPE:ACK	163.1
