hop1	ms1	hop2	ms2	hop3	ms3	hop4	ms4	hop5	ms5	hop6	ms6	hop7	ms7	hop8	ms8	hop9	ms9	hop10	ms10	hop11	ms11
*.*.*.*	0	*.*.*.*	0	80.249.212.8	76.7	200.16.69.46	76.6	200.16.71.86	125.6	10.82.1.6	125.5	*.*.*.*	0	10.82.1.74	126.2	172.26.8.61	127.2	CPE	159.2	CPE:ACK	160.1
37.218.242.254	0.2	195.190.28.1	0.3	80.249.212.8	76.8	200.16.69.46	76.8	200.16.71.86	125.3	10.82.1.6	125.9	*.*.*.*	0	10.82.1.74	125.9	172.26.8.29	126.7	CPE	159.0	CPE:ACK	158.9
*.*.*.*	0	*.*.*.*	0	80.249.212.8	76.7	200.16.69.46	76.8	200.16.71.86	125.3	10.82.1.10	129.6	*.*.*.*	0	10.82.1.74	129.8	172.26.8.61	131.1	CPE	163.2	CPE:ACK	163.1
*.*.*.*	0	*.*.*.*	0	80.249.212.8	76.8	200.16.69.46	76.8	200.16.71.86	125.5	10.82.1.6	125.5	*.*.*.*	0	10.82.1.74	125.8	172.26.8.29	126.5	CPE	159.3	CPE:ACK	162.1
37.218.242.254	0.3	195.190.28.1	0.2	80.249.212.8	76.8	200.16.69.46	76.8	200.16.71.86	125.4	10.82.1.10	129.7	*.*.*.*	0	10.82.1.74	130.0	172.26.8.125	131.1	CPE	163.9	CPE:ACK	162.8
*.*.*.*	0	*.*.*.*	0	80.249.212.8	76.9	200.16.69.46	76.8	200.16.71.86	126.4	10.82.1.6	125.7	*.*.*.*	0	10.82.1.74	125.7	172.26.8.93	126.6	CPE	159.6	CPE:ACK	164.3
37.218.242.254	0.2	*.*.*.*	0	80.249.212.8	76.8	200.16.69.46	76.9	200.16.71.86	127.4	10.82.1.2	125.3	*.*.*.*	0	*.*.*.*	0	172.26.8.29	126.6	CPE	158.2	CPE:ACK	160.0
*.*.*.*	0	195.190.28.1	0.3	80.249.212.8	76.7	200.16.69.46	76.8	200.16.71.86	147.7	10.82.1.10	129.5	*.*.*.*	0	10.82.1.74	130.2	172.26.8.29	130.7	CPE	163.5	CPE:ACK	163.2
*.*.*.*	0	*.*.*.*	0	80.249.212.8	78.3	200.16.69.46	76.8	200.16.71.86	125.5	10.82.1.10	129.4	*.*.*.*	0	10.82.1.74	129.9	172.26.8.29	130.6	CPE	163.6	CPE:ACK	163.5
37.218.242.254	0.2	195.190.28.1	0.3	80.249.212.8	81.9	200.16.69.46	76.7	200.16.71.86	125.5	10.82.1.2	125.3	*.*.*.*	0	10.82.1.74	125.7	172.26.8.29	126.4	CPE	159.3	CPE:ACK	159.0
*.*.*.*	0	*.*.*.*	0	80.249.212.8	76.7	200.16.69.46	76.8	200.16.71.86	125.5	10.82.1.10	129.6	*.*.*.*	0	10.82.1.74	130.1	172.26.8.125	131.3	CPE	163.8	CPE:ACK	162.7
*.*.*.*	0	*.*.*.*	0	80.249.212.8	76.9	200.16.69.46	76.9	200.16.71.86	125.4	10.82.1.10	129.6	*.*.*.*	0	10.82.1.74	130.0	172.26.8.29	130.7	CPE	163.9	CPE:ACK	167.2
37.218.242.254	0.2	195.190.28.1	0.3	80.249.212.8	76.8	200.16.69.46	76.8	200.16.71.86	126.6	10.82.1.2	131.3	*.*.*.*	0	10.82.1.74	125.7	172.26.8.61	126.8	CPE	159.2	CPE:ACK	159.7
*.*.*.*	0	*.*.*.*	0	80.249.212.8	76.8	200.16.69.46	76.8	200.16.71.86	125.4	10.82.1.2	125.2	*.*.*.*	0	10.82.1.74	125.8	172.26.8.125	127.2	CPE	158.5	CPE:ACK	159.3
*.*.*.*	0	*.*.*.*	0	80.249.212.8	76.9	200.16.69.46	76.9	200.16.71.86	125.6	10.82.1.10	129.6	*.*.*.*	0	10.82.1.74	130.0	172.26.8.29	130.7	CPE	163.6	CPE:ACK	162.7
37.218.242.254	0.2	195.190.28.1	0.2	80.249.212.8	76.6	200.16.69.46	76.8	200.16.71.86	125.3	10.82.1.2	125.2	*.*.*.*	0	10.82.1.154	125.7	172.26.8.93	126.4	CPE	159.6	CPE:ACK	158.5
*.*.*.*	0	*.*.*.*	0	80.249.212.8	76.9	200.16.69.46	76.7	200.16.71.86	125.5	10.82.1.10	129.5	*.*.*.*	0	10.82.1.74	130.0	172.26.8.125	131.2	CPE	163.2	CPE:ACK	167.5
*.*.*.*	0	*.*.*.*	0	80.249.212.8	76.7	200.16.69.46	76.7	200.16.71.86	125.3	10.82.1.10	129.6	*.*.*.*	0	10.82.1.74	130.0	172.26.8.93	130.8	CPE	163.5	CPE:ACK	162.2
37.218.242.254	0.2	195.190.28.1	0.3	80.249.212.8	76.8	200.16.69.46	76.7	200.16.71.86	125.5	10.82.1.10	129.6	*.*.*.*	0	10.82.1.74	130.3	172.26.8.61	131.4	CPE	162.6	CPE:ACK	163.7
*.*.*.*	0	*.*.*.*	0	80.249.212.8	76.8	200.16.69.46	76.7	200.16.71.86	125.5	10.82.1.10	129.7	*.*.*.*	0	10.82.1.74	129.9	172.26.8.93	130.8	CPE	163.7	CPE:ACK	163.8
37.218.242.254	0.2	195.190.28.1	0.2	80.249.212.8	76.8	200.16.69.46	76.7	200.16.71.86	125.5	10.82.1.2	125.3	*.*.*.*	0	10.82.1.154	125.6	172.26.8.125	127.0	CPE	159.7	CPE:ACK	159.3
*.*.*.*	0	*.*.*.*	0	80.249.212.8	76.7	200.16.69.46	76.8	200.16.71.86	125.5	10.82.1.10	129.5	*.*.*.*	0	10.82.1.74	130.0	172.26.8.93	131.0	CPE	163.1	CPE:ACK	163.8
*.*.*.*	0	*.*.*.*	0	80.249.212.8	76.8	200.16.69.46	76.8	200.16.71.86	127.9	10.82.1.10	129.7	*.*.*.*	0	10.82.1.74	130.2	172.26.8.61	131.4	CPE	163.9	CPE:ACK	164.0
37.218.242.254	0.2	195.190.28.1	0.3	80.249.212.8	76.7	200.16.69.46	76.8	200.16.71.86	135.5	10.82.1.10	138.8	*.*.*.*	0	10.82.1.74	133.6	172.26.8.93	130.7	CPE	163.6	CPE:ACK	163.8
*.*.*.*	0	*.*.*.*	0	80.249.212.8	77.0	200.16.69.46	76.8	200.16.71.86	125.5	10.82.1.2	125.4	*.*.*.*	0	10.82.1.154	125.9	172.26.8.93	126.9	CPE	158.8	CPE:ACK	159.6
37.218.242.254	0.5	195.190.28.1	0.2	80.249.212.8	80.8	200.16.69.46	76.8	200.16.71.86	125.4	10.82.1.10	130.6	*.*.*.*	0	10.82.1.74	129.9	172.26.8.93	130.8	CPE	163.0	CPE:ACK	167.0
*.*.*.*	0	*.*.*.*	0	80.249.212.8	76.8	200.16.69.46	76.9	200.16.71.86	125.5	10.82.1.2	125.3	*.*.*.*	0	10.82.1.154	125.8	172.26.8.29	126.6	CPE	159.9	CPE:ACK	159.4
37.218.242.254	0.2	195.190.28.1	0.3	80.249.212.8	76.6	200.16.69.46	76.6	200.16.71.86	125.4	10.82.1.6	125.4	*.*.*.*	0	10.82.1.154	125.7	172.26.8.125	127.1	CPE	159.4	CPE:ACK	159.6
*.*.*.*	0	*.*.*.*	0	80.249.212.8	76.7	200.16.69.46	76.8	200.16.71.86	187.3	10.82.1.10	129.7	*.*.*.*	0	10.82.1.74	129.9	172.26.8.29	130.7	CPE	163.6	CPE:ACK	163.8
37.218.242.254	0.2	195.190.28.1	0.2	80.249.212.8	76.7	200.16.69.46	76.8	200.16.71.86	125.4	10.82.1.2	125.2	*.*.*.*	0	10.82.1.154	125.7	172.26.8.93	126.4	CPE	159.0	CPE:ACK	163.9
*.*.*.*	0	*.*.*.*	0	80.249.212.8	76.7	200.16.69.46	76.8	200.16.71.86	125.9	10.82.1.2	125.9	*.*.*.*	0	10.82.1.74	125.8	172.26.8.93	126.5	CPE	159.3	CPE:ACK	159.6
*.*.*.*	0	*.*.*.*	0	80.249.212.8	77.0	200.16.69.46	79.4	200.16.71.86	125.4	10.82.1.6	125.5	*.*.*.*	0	10.82.1.74	125.7	172.26.8.29	127.0	CPE	159.7	CPE:ACK	159.4
37.218.242.254	0.2	195.190.28.1	0.2	80.249.212.8	76.8	200.16.69.46	77.4	200.16.71.86	125.9	10.82.1.2	125.3	*.*.*.*	0	10.82.1.74	126.2	172.26.8.29	126.7	CPE	159.2	CPE:ACK	159.7
*.*.*.*	0	*.*.*.*	0	80.249.212.8	76.7	200.16.69.46	77.0	200.16.71.86	125.4	10.82.1.6	125.4	*.*.*.*	0	10.82.1.154	125.6	172.26.8.61	127.6	CPE	159.3	CPE:ACK	160.3
37.218.242.254	0.3	195.190.28.1	0.2	80.249.212.8	76.7	200.16.69.46	76.9	200.16.71.86	125.6	10.82.1.10	129.3	*.*.*.*	0	10.82.1.74	135.6	172.26.8.61	131.1	CPE	163.3	CPE:ACK	163.5
*.*.*.*	0	*.*.*.*	0	80.249.212.8	76.6	200.16.69.46	76.7	200.16.71.86	139.5	10.82.1.10	130.0	*.*.*.*	0	10.82.1.74	130.0	172.26.8.93	130.7	CPE	163.1	CPE:ACK	164.0
37.218.242.254	0.2	195.190.28.1	0.2	80.249.212.8	88.7	200.16.69.46	76.8	200.16.71.86	125.8	10.82.1.2	125.5	*.*.*.*	0	10.82.1.154	125.8	172.26.8.61	127.3	CPE	159.2	CPE:ACK	159.8
*.*.*.*	0	*.*.*.*	0	80.249.212.8	76.9	200.16.69.46	76.7	200.16.71.86	125.9	10.82.1.6	125.2	*.*.*.*	0	10.82.1.154	125.7	172.26.8.61	127.1	CPE	160.0	CPE:ACK	160.1
*.*.*.*	0	*.*.*.*	0	80.249.212.8	76.9	200.16.69.46	76.9	200.16.71.86	125.4	10.82.1.10	129.6	*.*.*.*	0	10.82.1.74	130.0	172.26.8.29	131.0	CPE	163.0	CPE:ACK	163.7
37.218.242.254	0.2	195.190.28.1	0.3	80.249.212.8	76.8	200.16.69.46	76.8	200.16.71.86	125.6	10.82.1.10	129.6	*.*.*.*	0	10.82.1.74	130.1	172.26.8.125	131.1	CPE	162.6	CPE:ACK	164.0
*.*.*.*	0	*.*.*.*	0	80.249.212.8	76.8	200.16.69.46	80.9	200.16.71.86	125.5	10.82.1.2	125.3	*.*.*.*	0	10.82.1.74	125.8	172.26.8.29	128.7	CPE	159.4	CPE:ACK	160.2
37.218.242.254	0.2	195.190.28.1	0.3	80.249.212.8	76.7	200.16.69.46	76.9	200.16.71.86	125.3	10.82.1.2	125.3	*.*.*.*	0	10.82.1.154	125.6	172.26.8.29	126.6	CPE	165.2	CPE:ACK	159.3
*.*.*.*	0	*.*.*.*	0	80.249.212.8	76.9	200.16.69.46	76.8	200.16.71.86	125.5	10.82.1.6	125.5	*.*.*.*	0	10.82.1.154	125.9	172.26.8.29	126.7	CPE	158.5	CPE:ACK	159.3
37.218.242.254	0.2	195.190.28.1	0.2	80.249.212.8	76.7	200.16.69.46	76.8	200.16.71.86	125.4	10.82.1.2	125.4	*.*.*.*	0	10.82.1.74	133.3	172.26.8.29	126.4	CPE	159.2	CPE:ACK	159.2
*.*.*.*	0	*.*.*.*	0	80.249.212.8	76.8	200.16.69.46	76.7	200.16.71.86	125.7	10.82.1.6	125.5	*.*.*.*	0	10.82.1.154	127.1	172.26.8.61	127.2	CPE	159.3	CPE:ACK	160.2
37.218.242.254	0.2	195.190.28.1	0.3	80.249.212.8	76.8	200.16.69.46	76.7	200.16.71.86	125.3	10.82.1.2	125.4	*.*.*.*	0	10.82.1.74	125.7	172.26.8.61	126.9	CPE	159.2	CPE:ACK	163.0
*.*.*.*	0	*.*.*.*	0	80.249.212.8	76.8	200.16.69.46	76.9	200.16.71.86	125.3	10.82.1.10	129.8	*.*.*.*	0	10.82.1.74	130.3	172.26.8.61	131.0	CPE	163.9	CPE:ACK	167.9
37.218.242.254	0.2	195.190.28.1	0.2	80.249.212.8	79.8	200.16.69.46	77.0	200.16.71.86	125.9	10.82.1.2	125.6	*.*.*.*	0	10.82.1.74	125.7	172.26.8.93	126.6	CPE	159.5	CPE:ACK	159.6
*.*.*.*	0	*.*.*.*	0	80.249.212.8	76.6	200.16.69.46	76.8	200.16.71.86	125.6	10.82.1.6	125.5	*.*.*.*	0	10.82.1.154	125.9	172.26.8.125	127.1	CPE	158.2	CPE:ACK	158.6
*.*.*.*	0	*.*.*.*	0	80.249.212.8	76.7	200.16.69.46	76.8	200.16.71.86	125.5	10.82.1.10	129.7	*.*.*.*	0	10.82.1.74	163.4	172.26.8.93	130.9	CPE	164.5	CPE:ACK	164.3
37.218.242.254	0.2	195.190.28.1	0.3	80.249.212.8	76.9	200.16.69.46	76.8	200.16.71.86	125.8	10.82.1.6	125.4	*.*.*.*	0	10.82.1.154	125.6	172.26.8.61	127.2	CPE	159.9	CPE:ACK	158.8
*.*.*.*	0	*.*.*.*	0	80.249.212.8	76.7	200.16.69.46	76.7	200.16.71.86	125.6	10.82.1.6	125.4	*.*.*.*	0	10.82.1.154	125.7	172.26.8.125	127.7	CPE	159.8	CPE:ACK	163.9
37.218.242.254	0.3	195.190.28.1	0.3	80.249.212.8	76.7	200.16.69.46	76.8	200.16.71.86	144.4	10.82.1.6	125.3	*.*.*.*	0	10.82.1.74	125.7	172.26.8.29	126.5	CPE	160.0	CPE:ACK	158.6
*.*.*.*	0	*.*.*.*	0	80.249.212.8	76.7	200.16.69.46	76.8	200.16.71.86	125.4	10.82.1.6	125.2	*.*.*.*	0	10.82.1.74	125.7	172.26.8.125	127.1	CPE	159.4	CPE:ACK	159.4
37.218.242.254	0.2	195.190.28.1	0.3	80.249.212.8	76.9	200.16.69.46	77.1	200.16.71.86	125.8	10.82.1.2	125.3	*.*.*.*	0	10.82.1.154	125.7	172.26.8.125	127.0	CPE	159.5	CPE:ACK	159.8
