hop1	ms1	hop2	ms2	hop3	ms3	hop4	ms4	hop5	ms5	hop6	ms6	hop7	ms7	hop8	ms8	hop9	ms9	hop10	ms10	hop11	ms11
37.218.245.254	0.1	195.190.28.1	0.2	80.249.212.8	76.7	200.16.69.46	77.0
37.218.245.254	0.1	195.190.28.1	0.1	80.249.212.8	76.7	200.16.69.46	76.7
37.218.245.254	0.1	195.190.28.1	0.2	80.249.212.8	76.8	200.16.69.46	76.9
37.218.245.254	0.1	195.190.28.1	0.2	80.249.212.8	76.6	200.16.69.46	76.7
37.218.245.254	0.1	195.190.28.1	0.2	80.249.212.8	76.7	200.16.69.46	84.4
37.218.245.254	0.2	195.190.28.1	0.2	80.249.212.8	76.7	200.16.69.46	76.6
37.218.245.254	0.2	195.190.28.1	0.2	80.249.212.8	77.0	200.16.69.46	76.9
37.218.245.254	0.2	195.190.28.1	0.2	80.249.212.8	76.7	200.16.69.46	85.8
37.218.245.254	0.1	195.190.28.1	0.1	80.249.212.8	91.4	200.16.69.46	76.8
37.218.245.254	0.1	195.190.28.1	0.1	80.249.212.8	77.2	200.16.69.46	76.8
37.218.245.254	0.1	195.190.28.1	0.2	80.249.212.8	76.7	200.16.69.46	76.7
37.218.245.254	0.2	195.190.28.1	0.2	80.249.212.8	100.6	200.16.69.46	76.8
37.218.245.254	0.2	195.190.28.1	0.2	80.249.212.8	76.7	200.16.69.46	76.8
37.218.245.254	0.2	195.190.28.1	0.2	80.249.212.8	76.9	200.16.69.46	76.8
37.218.245.254	0.2	195.190.28.1	0.2	80.249.212.8	76.6	200.16.69.46	76.8
37.218.245.254	0.1	195.190.28.1	0.2	80.249.212.8	76.6	200.16.69.46	76.8
37.218.245.254	0.2	195.190.28.1	0.2	80.249.212.8	76.7	200.16.69.46	77.4
37.218.245.254	0.2	195.190.28.1	0.2	80.249.212.8	77.4	200.16.69.46	76.7
37.218.245.254	0.2	195.190.28.1	0.2	80.249.212.8	78.9	200.16.69.46	76.7
37.218.245.254	0.2	195.190.28.1	0.1	80.249.212.8	76.9	200.16.69.46	76.8
