,measurement_start_time,probe_asn,input,domain,explorer_url,dns,false,http-failure,tcp_ip
197,2018-06-05 03:28:34,23650,https://en.wikipedia.org/wiki/the_holocaust,en.wikipedia.org,https://explorer.ooni.io/measurement/20180605T032813Z_AS23650_HeAvDikLvlNzg9GMDPsXShWm5MaCmZB5aoAhWPdUaH7TUp9p4K?input=https%3A%2F%2Fen.wikipedia.org%2Fwiki%2Fthe_holocaust,0.0,1.0,0.0,0.0
198,2018-06-08 10:37:28,4812,https://en.wikipedia.org/wiki/the_holocaust,en.wikipedia.org,https://explorer.ooni.io/measurement/20180608T103011Z_AS4812_ZSVjhVFYFQUUgzzHpZ2Q5D0oEnTYoKKPHYfehwEK2qp5HD1XPK?input=https%3A%2F%2Fen.wikipedia.org%2Fwiki%2Fthe_holocaust,0.0,1.0,0.0,0.0
199,2018-06-28 11:56:02,4134,https://en.wikipedia.org/wiki/the_holocaust,en.wikipedia.org,https://explorer.ooni.io/measurement/20180628T115548Z_AS4134_kSQ8eZapsKMHTanNWHCbAb1GFk5pjUkAInrEr9Ho6aC9fDZytu?input=https%3A%2F%2Fen.wikipedia.org%2Fwiki%2Fthe_holocaust,0.0,1.0,0.0,0.0
200,2018-07-16 10:55:16,24400,http://en.wikipedia.org/wiki/the_holocaust,en.wikipedia.org,https://explorer.ooni.io/measurement/20180716T095648Z_AS24400_AWoVq3O2BTNNZVaDnVy2pUPpjYODiviZhJQLbHwYwT9VOkv6LF?input=http%3A%2F%2Fen.wikipedia.org%2Fwiki%2Fthe_holocaust,0.0,1.0,0.0,0.0
201,2018-07-16 10:55:19,24400,https://en.wikipedia.org/wiki/the_holocaust,en.wikipedia.org,https://explorer.ooni.io/measurement/20180716T095648Z_AS24400_AWoVq3O2BTNNZVaDnVy2pUPpjYODiviZhJQLbHwYwT9VOkv6LF?input=https%3A%2F%2Fen.wikipedia.org%2Fwiki%2Fthe_holocaust,0.0,1.0,0.0,0.0
202,2018-07-16 11:17:35,24400,http://www.wikipedia.org/,www.wikipedia.org,https://explorer.ooni.io/measurement/20180716T095648Z_AS24400_AWoVq3O2BTNNZVaDnVy2pUPpjYODiviZhJQLbHwYwT9VOkv6LF?input=http%3A%2F%2Fwww.wikipedia.org%2F,0.0,1.0,0.0,0.0
203,2018-07-16 11:17:37,24400,https://www.wikipedia.org/,www.wikipedia.org,https://explorer.ooni.io/measurement/20180716T095648Z_AS24400_AWoVq3O2BTNNZVaDnVy2pUPpjYODiviZhJQLbHwYwT9VOkv6LF?input=https%3A%2F%2Fwww.wikipedia.org%2F,0.0,1.0,0.0,0.0
204,2018-07-18 06:51:11,4812,https://en.wikipedia.org/wiki/the_holocaust,en.wikipedia.org,https://explorer.ooni.io/measurement/20180718T063540Z_AS4812_BXkElPm2fVMCaNUcDqOkAKtYoyEHTlc6DJ4tMSlGJQ6FO0Yamy?input=https%3A%2F%2Fen.wikipedia.org%2Fwiki%2Fthe_holocaust,0.0,1.0,0.0,0.0
205,2018-07-18 07:57:55,4812,https://www.wikipedia.org/,www.wikipedia.org,https://explorer.ooni.io/measurement/20180718T063540Z_AS4812_BXkElPm2fVMCaNUcDqOkAKtYoyEHTlc6DJ4tMSlGJQ6FO0Yamy?input=https%3A%2F%2Fwww.wikipedia.org%2F,0.0,1.0,0.0,0.0
206,2018-07-25 13:59:12,4837,https://en.wikipedia.org/wiki/the_holocaust,en.wikipedia.org,https://explorer.ooni.io/measurement/20180725T135822Z_AS4837_EEo3we9B0qXxqsAViuaKl3vcf9mibFuHCxEZshxrJ4JcyMUoDL?input=https%3A%2F%2Fen.wikipedia.org%2Fwiki%2Fthe_holocaust,0.0,1.0,0.0,0.0
207,2018-07-26 17:15:14,9808,https://www.wikipedia.org/,www.wikipedia.org,https://explorer.ooni.io/measurement/20180726T171506Z_AS9808_tx0dk1JPEOIP9S0v2vg8I29gqtAS4YaOJVrbgXQP6VCUxJyujR?input=https%3A%2F%2Fwww.wikipedia.org%2F,0.0,1.0,0.0,0.0
208,2018-08-06 16:14:27,56046,https://www.wikipedia.org/,www.wikipedia.org,https://explorer.ooni.io/measurement/20180806T161420Z_AS56046_P6ab3WIjdoQBiKPQXkJakoX6LAoPdaU0WUcc1F1XaoSd2Cgi9n?input=https%3A%2F%2Fwww.wikipedia.org%2F,0.0,1.0,0.0,0.0
