a_probe_asn,input,calc_blockpage,catcode,a_test_start_time
AS23674,http://www.unblockfacebooknow.com,id-surf-safe-0,ANON,3
AS23674,http://www.unblockfacebooknow.com,not-blocked,ANON,65
AS23674,http://www.yourfreeproxy.com,id-surf-safe-0,ANON,9
AS23674,http://www.yourfreeproxy.com,not-blocked,ANON,59
AS24499,http://proxify.com,not-blocked,ANON,1
AS45595,http://accesstoblockedsites.com/browse.php?u=Oi8vd3d3LmFsbGZyZWVtb3ZpZXMuY29t&b=5&f=norefer,not-blocked,ANON,195
AS45595,http://flyproxy.com,not-blocked,ANON,195
AS45595,http://indianproxy.com,not-blocked,ANON,194
AS45595,http://jtunnel.com,not-blocked,ANON,45
AS45595,http://mrnewguy.com,not-blocked,ANON,51
AS45595,http://proxy.computersteroids.com/index0.php,not-blocked,ANON,196
AS45595,http://stop-block.com,not-blocked,ANON,196
AS45595,http://surfshield.net,not-blocked,ANON,54
AS45595,http://unblock-me.org,not-blocked,ANON,196
AS45595,http://www.Jtunnel.com,not-blocked,ANON,46
AS45595,http://www.allunblocker.com,not-blocked,ANON,108
AS45595,http://www.anonypost.com,not-blocked,ANON,99
AS45595,http://www.facebookproxy.org,not-blocked,ANON,194
AS45595,http://www.feo-online.org,not-blocked,ANON,194
AS45595,http://www.freeproxysite.com,not-blocked,ANON,69
AS45595,http://www.hujiko.com,not-blocked,ANON,196
AS45595,http://www.ipzap.com,not-blocked,ANON,195
AS45595,http://www.myninjaproxy.info,not-blocked,ANON,196
AS45595,http://www.mywebtunnel.com,not-blocked,ANON,31
AS45595,http://www.nopath.com,not-blocked,ANON,158
AS45595,http://www.proxify.co.uk,not-blocked,ANON,96
AS45595,http://www.proxify.info,not-blocked,ANON,96
AS45595,http://www.proxify.net,not-blocked,ANON,96
AS45595,http://www.proxify.org,not-blocked,ANON,96
AS45595,http://www.proxyblind.org,not-blocked,ANON,196
AS45595,http://www.proxyweb.net,not-blocked,ANON,182
AS45595,http://www.satyaboutique.com,not-blocked,ANON,196
AS45595,http://www.sneakysurf.com,not-blocked,ANON,196
AS45595,http://www.squidoo.com/proxyfacebook,not-blocked,ANON,196
AS45595,http://www.surfonym.com/cgi-bin/nph-proxy,not-blocked,ANON,196
AS45595,http://www.switchproxy.com,not-blocked,ANON,96
AS45595,http://www.thewebtunnel.com,not-blocked,ANON,132
AS45595,http://www.unblock-me.org,not-blocked,ANON,195
AS45595,http://www.unblockfacebooknow.com,not-blocked,ANON,195
AS45595,http://www.yourfreeproxy.com,not-blocked,ANON,194
AS9260,http://www.proxyweb.net,not-blocked,ANON,1
AS0,http://dcemail.com,not-blocked,COMT,1
AS23674,http://dcemail.com,id-surf-safe-0,COMT,2
AS23674,http://dcemail.com,not-blocked,COMT,68
AS24499,http://dcemail.com,not-blocked,COMT,1
AS45773,http://dcemail.com,not-blocked,COMT,1
AS58895,http://dcemail.com,not-blocked,COMT,1
AS9541,http://dcemail.com,not-blocked,COMT,2
AS23674,http://atlasshrugs2000.typepad.com/atlas_shrugs/2006/02/muhammad_cartoo.html,id-surf-safe-0,CULTR,67
AS23674,http://atlasshrugs2000.typepad.com/atlas_shrugs/2006/02/muhammad_cartoo.html,not-blocked,CULTR,7
AS23674,http://creepingsharia.wordpress.com/mohammed-cartoon-collection/,id-surf-safe-0,CULTR,42
AS23674,http://creepingsharia.wordpress.com/mohammed-cartoon-collection/,not-blocked,CULTR,27
AS23674,http://drawmohammadday.blogspot.com,id-surf-safe-0,CULTR,12
AS23674,http://drawmohammadday.blogspot.com,not-blocked,CULTR,57
AS23674,http://gatesofvienna.blogspot.com/2010/04/may-20-first-annual-everybody-draw.html,id-surf-safe-0,CULTR,15
