Measurement Start Time,Websites ,Accessible,Blocking,Control Failure,Dns Experiment Failure,Http Experiment Failure,Dns Consistency,Status Code Match,Headers Match,Title Match,Body Proportion,Body Length Match,Explorer
2018-03-29 11:55:14,http://www.oromiamedia.org/,f,tcp_ip,,,connect_error,consistent,,,,0,,https://explorer.ooni.torproject.org/measurement/20180329T114744Z_AS24757_TtFYQu7NPoZboI7e7TnGCImseLnCUtBD8C1h3TwNFTGzuBC1QO?input=http://www.oromiamedia.org/
2018-03-29 11:56:45,https://www.oromiamedia.org/,f,tcp_ip,,,connect_error,consistent,,,,0,,https://explorer.ooni.torproject.org/measurement/20180329T114744Z_AS24757_TtFYQu7NPoZboI7e7TnGCImseLnCUtBD8C1h3TwNFTGzuBC1QO?input=https://www.oromiamedia.org/
2018-03-30 10:52:19,http://www.oromiamedia.org/,f,tcp_ip,,,connect_error,consistent,,,,0,,https://explorer.ooni.torproject.org/measurement/20180330T104336Z_AS24757_qogiCFP0kTE8l96BxqTZLV3956aEU1dAFx2nzbA0OY5uuVjriL?input=http://www.oromiamedia.org/
2018-03-30 10:59:33,https://www.oromiamedia.org/,f,tcp_ip,,,connect_error,consistent,,,,0,,https://explorer.ooni.torproject.org/measurement/20180330T104336Z_AS24757_qogiCFP0kTE8l96BxqTZLV3956aEU1dAFx2nzbA0OY5uuVjriL?input=https://www.oromiamedia.org/
2018-03-30 11:06:34,https://www.oromiamedia.org/,f,tcp_ip,,,connect_error,consistent,,,,0,,https://explorer.ooni.torproject.org/measurement/20180330T110600Z_AS24757_mIewxq461iGr1VIo3Pg73GNeBhyWY0UB3WayMCgUxofeK4Bvml?input=https://www.oromiamedia.org/
2018-04-03 06:33:39,https://www.oromiamedia.org/,f,tcp_ip,,,connect_error,consistent,,,,0,,https://explorer.ooni.torproject.org/measurement/20180403T062403Z_AS24757_3ikvaly7HlrpDHzJZ2LxXDaghCxMD81WYVNz2ThxmCENXYcvVP?input=https://www.oromiamedia.org/
2018-04-03 06:36:47,http://www.oromiamedia.org/,f,tcp_ip,,,connect_error,consistent,,,,0,,https://explorer.ooni.torproject.org/measurement/20180403T062403Z_AS24757_3ikvaly7HlrpDHzJZ2LxXDaghCxMD81WYVNz2ThxmCENXYcvVP?input=http://www.oromiamedia.org/
2018-04-12 18:16:23,https://www.oromiamedia.org/,f,tcp_ip,,,connect_error,consistent,,,,0,,https://explorer.ooni.torproject.org/measurement/20180412T180619Z_AS24757_N9jB51eOdozBtMYT6aPAaY4y0DMod7nAGSUCJ5a3rgYS4UF0wL?input=https://www.oromiamedia.org/
2018-04-12 18:17:21,http://www.oromiamedia.org/,f,tcp_ip,,,connect_error,consistent,,,,0,,https://explorer.ooni.torproject.org/measurement/20180412T180619Z_AS24757_N9jB51eOdozBtMYT6aPAaY4y0DMod7nAGSUCJ5a3rgYS4UF0wL?input=http://www.oromiamedia.org/
2018-05-04 06:42:27,http://www.oromiamedia.org/,f,tcp_ip,,,connection_reset,consistent,,,,0,,https://explorer.ooni.torproject.org/measurement/20180504T064138Z_AS24757_bG2hOF4yLGhsaAMoZZ0CD6jgblmya3xKntwUTfwDH06xkhjr81?input=http://www.oromiamedia.org/
2018-06-07 19:11:31,http://www.oromiamedia.org/,f,tcp_ip,,,connect_error,consistent,,,,0,,https://explorer.ooni.torproject.org/measurement/20180607T190737Z_AS24757_aVOA3TKk17VjUrffznLi8OwF5JOtkJw69mrXB3iKYSosFJq6wX?input=http://www.oromiamedia.org/
2018-06-07 19:19:20,https://www.oromiamedia.org/,f,tcp_ip,,,connect_error,consistent,,,,0,,https://explorer.ooni.torproject.org/measurement/20180607T190737Z_AS24757_aVOA3TKk17VjUrffznLi8OwF5JOtkJw69mrXB3iKYSosFJq6wX?input=https://www.oromiamedia.org/
2018-06-07 22:45:18,http://www.oromiamedia.org/,f,tcp_ip,,,connect_error,consistent,,,,0,,https://explorer.ooni.torproject.org/measurement/20180607T224120Z_AS24757_EosXWkpmIOOjuCsiO2zwrksubPmahjUQtuEQNKZS4wRuzboNfy?input=http://www.oromiamedia.org/
2018-06-23 15:13:22,http://www.oromiamedia.org/,f,tcp_ip,,,connect_error,consistent,,,,0,,https://explorer.ooni.torproject.org/measurement/20180623T151119Z_AS24757_pnkzXHeUDMlWefsKvJ2xIOr3aXCXIQ0uwzypXghMFPbgLMC8wQ?input=http://www.oromiamedia.org/
2018-06-24 09:56:58,http://www.oromiamedia.org/,t,false,,,,consistent,t,t,t,1,t,https://explorer.ooni.torproject.org/measurement/20180624T095414Z_AS24757_8n0E1nbCnJmkeI97jQbxbXyz3Q9h93jf4IP6f5nXSFxnsuyyx4?input=http://www.oromiamedia.org/
2018-03-29 03:40:43,http://psiphon.ca,f,dns,,,dns_lookup_error,inconsistent,,,,0,,https://explorer.ooni.torproject.org/measurement/20180329T032433Z_AS24757_e14yxQXLSnTr6Uve5T2czUQFVF3ULVFbpKrhF6AZVrNfidkStP?input=http://psiphon.ca
2018-03-29 11:52:43,http://psiphon.ca,f,http-failure,,,connection_reset,consistent,,,,0,,https://explorer.ooni.torproject.org/measurement/20180329T114744Z_AS24757_TtFYQu7NPoZboI7e7TnGCImseLnCUtBD8C1h3TwNFTGzuBC1QO?input=http://psiphon.ca
2018-03-29 11:53:39,https://psiphon.ca,t,false,,,,consistent,t,t,t,1,t,https://explorer.ooni.torproject.org/measurement/20180329T114744Z_AS24757_TtFYQu7NPoZboI7e7TnGCImseLnCUtBD8C1h3TwNFTGzuBC1QO?input=https://psiphon.ca
2018-03-30 10:51:42,http://psiphon.ca,f,http-failure,,,connection_reset,consistent,,,,0,,https://explorer.ooni.torproject.org/measurement/20180330T104336Z_AS24757_qogiCFP0kTE8l96BxqTZLV3956aEU1dAFx2nzbA0OY5uuVjriL?input=http://psiphon.ca
2018-03-30 10:57:14,https://psiphon.ca,t,false,,,,consistent,t,t,t,1,t,https://explorer.ooni.torproject.org/measurement/20180330T104336Z_AS24757_qogiCFP0kTE8l96BxqTZLV3956aEU1dAFx2nzbA0OY5uuVjriL?input=https://psiphon.ca
2018-03-30 11:06:10,http://psiphon.ca,f,http-failure,,,connection_reset,consistent,,,,0,,https://explorer.ooni.torproject.org/measurement/20180330T110600Z_AS24757_mIewxq461iGr1VIo3Pg73GNeBhyWY0UB3WayMCgUxofeK4Bvml?input=http://psiphon.ca
2018-04-03 06:33:30,http://psiphon.ca,f,http-failure,,,connection_reset,consistent,,,,0,,https://explorer.ooni.torproject.org/measurement/20180403T062403Z_AS24757_3ikvaly7HlrpDHzJZ2LxXDaghCxMD81WYVNz2ThxmCENXYcvVP?input=http://psiphon.ca
2018-04-03 06:33:41,https://psiphon.ca,t,false,,,,consistent,t,t,t,1,t,https://explorer.ooni.torproject.org/measurement/20180403T062403Z_AS24757_3ikvaly7HlrpDHzJZ2LxXDaghCxMD81WYVNz2ThxmCENXYcvVP?input=https://psiphon.ca
