,measurement_start_time,as_holder,probe_asn,input,domain,explorer_url,probe_cc,False,dns,false,http-diff,http-failure,tcp_ip
124,2020-02-04 18:42:04,FANAVA-AS - Fanava Group,41881,https://www.wpiran.org/,www.wpiran.org,https://explorer.ooni.io/measurement/20200204T184049Z_AS41881_YtNaz9tqj1nENAIZAzlVVqYnzO9ZBMwj6Dn5tYw2OdCsj0Prve?input=https%3A%2F%2Fwww.wpiran.org%2F,IR,0,0,0,0,1,0
125,2020-02-04 18:52:18,PARSONLINE - Pars Online PJS,16322,http://www.quantico.marines.mil/,www.quantico.marines.mil,https://explorer.ooni.io/measurement/20200204T185212Z_AS16322_qPfl1VMNNQYxknTxfFa2GSQMFoomYRpPru1q7sfugBgaOhZ3xE?input=http%3A%2F%2Fwww.quantico.marines.mil%2F,IR,0,1,0,0,0,0
126,2020-02-04 18:52:18,PARSONLINE - Pars Online PJS,16322,https://3docean.net/,3docean.net,https://explorer.ooni.io/measurement/20200204T185212Z_AS16322_qPfl1VMNNQYxknTxfFa2GSQMFoomYRpPru1q7sfugBgaOhZ3xE?input=https%3A%2F%2F3docean.net%2F,IR,0,0,0,0,1,0
127,2020-02-04 18:52:45,PARSONLINE - Pars Online PJS,16322,http://www.typepad.com/,www.typepad.com,https://explorer.ooni.io/measurement/20200204T185212Z_AS16322_qPfl1VMNNQYxknTxfFa2GSQMFoomYRpPru1q7sfugBgaOhZ3xE?input=http%3A%2F%2Fwww.typepad.com%2F,IR,0,0,0,0,1,0
128,2020-02-04 18:52:49,PARSONLINE - Pars Online PJS,16322,https://www.iranhomay.com/,www.iranhomay.com,https://explorer.ooni.io/measurement/20200204T185212Z_AS16322_qPfl1VMNNQYxknTxfFa2GSQMFoomYRpPru1q7sfugBgaOhZ3xE?input=https%3A%2F%2Fwww.iranhomay.com%2F,IR,0,0,0,0,1,0
129,2020-02-04 18:53:26,PARSONLINE - Pars Online PJS,16322,https://1xbet.com/,1xbet.com,https://explorer.ooni.io/measurement/20200204T185212Z_AS16322_qPfl1VMNNQYxknTxfFa2GSQMFoomYRpPru1q7sfugBgaOhZ3xE?input=https%3A%2F%2F1xbet.com%2F,IR,0,0,0,0,0,1
130,2020-02-04 19:00:05,NGSAS - Parvaresh Dadeha Co. Private Joint Stock,39501,https://humanrightsinir.org/,humanrightsinir.org,https://explorer.ooni.io/measurement/20200204T190006Z_AS39501_VypEfpGFRJgeSmyK0tYMZjc8oFirE0RZr3FbuMH43ZOIKIf5ea?input=https%3A%2F%2Fhumanrightsinir.org%2F,IR,0,1,0,0,0,0
131,2020-02-04 19:00:10,NGSAS - Parvaresh Dadeha Co. Private Joint Stock,39501,https://uk.match.com/,uk.match.com,https://explorer.ooni.io/measurement/20200204T190006Z_AS39501_VypEfpGFRJgeSmyK0tYMZjc8oFirE0RZr3FbuMH43ZOIKIf5ea?input=https%3A%2F%2Fuk.match.com%2F,IR,0,0,0,0,1,0
132,2020-02-04 19:00:58,NGSAS - Parvaresh Dadeha Co. Private Joint Stock,39501,http://www.hitler.org/,www.hitler.org,https://explorer.ooni.io/measurement/20200204T190006Z_AS39501_VypEfpGFRJgeSmyK0tYMZjc8oFirE0RZr3FbuMH43ZOIKIf5ea?input=http%3A%2F%2Fwww.hitler.org%2F,IR,0,0,0,0,1,0
133,2020-02-04 19:01:06,NGSAS - Parvaresh Dadeha Co. Private Joint Stock,39501,https://pflag.org/,pflag.org,https://explorer.ooni.io/measurement/20200204T190006Z_AS39501_VypEfpGFRJgeSmyK0tYMZjc8oFirE0RZr3FbuMH43ZOIKIf5ea?input=https%3A%2F%2Fpflag.org%2F,IR,0,0,0,0,1,0
134,2020-02-04 19:11:52,DCI-AS - Information Technology Company (ITC),12880,https://imageshack.com/,imageshack.com,https://explorer.ooni.io/measurement/20200204T191152Z_AS12880_QDBhvdW3KwKffth2sI2lyvVQJjqS3ZpLu1o6DJAAKq70aed2GC?input=https%3A%2F%2Fimageshack.com%2F,IR,0,0,0,0,1,0
135,2020-02-04 19:11:52,DCI-AS - Information Technology Company (ITC),12880,https://www.bahai.us/,www.bahai.us,https://explorer.ooni.io/measurement/20200204T191152Z_AS12880_QDBhvdW3KwKffth2sI2lyvVQJjqS3ZpLu1o6DJAAKq70aed2GC?input=https%3A%2F%2Fwww.bahai.us%2F,IR,0,1,0,0,0,0
136,2020-02-04 19:12:01,DCI-AS - Information Technology Company (ITC),12880,https://www.queerty.com/,www.queerty.com,https://explorer.ooni.io/measurement/20200204T191152Z_AS12880_QDBhvdW3KwKffth2sI2lyvVQJjqS3ZpLu1o6DJAAKq70aed2GC?input=https%3A%2F%2Fwww.queerty.com%2F,IR,0,1,0,0,0,0
137,2020-02-04 19:12:29,DCI-AS - Information Technology Company (ITC),12880,https://www.mideastyouth.com/,www.mideastyouth.com,https://explorer.ooni.io/measurement/20200204T191152Z_AS12880_QDBhvdW3KwKffth2sI2lyvVQJjqS3ZpLu1o6DJAAKq70aed2GC?input=https%3A%2F%2Fwww.mideastyouth.com%2F,IR,0,0,0,0,1,0
138,2020-02-04 19:12:50,DCI-AS - Information Technology Company (ITC),12880,https://www.liveleak.com/,www.liveleak.com,https://explorer.ooni.io/measurement/20200204T191152Z_AS12880_QDBhvdW3KwKffth2sI2lyvVQJjqS3ZpLu1o6DJAAKq70aed2GC?input=https%3A%2F%2Fwww.liveleak.com%2F,IR,0,0,0,0,1,0
139,2020-02-04 19:13:34,RASANA - Aria Shatel Company Ltd,31549,http://www.teenhealthfx.com/,www.teenhealthfx.com,https://explorer.ooni.io/measurement/20200204T191333Z_AS31549_Lu2svoiwoeCEjydl8IybOZmrBFYcs6GsiqhFst7rHET6Z1rfJ3?input=http%3A%2F%2Fwww.teenhealthfx.com%2F,IR,0,1,0,0,0,0
140,2020-02-04 19:13:41,RASANA - Aria Shatel Company Ltd,31549,http://www.sina.com.cn/,www.sina.com.cn,https://explorer.ooni.io/measurement/20200204T191333Z_AS31549_Lu2svoiwoeCEjydl8IybOZmrBFYcs6GsiqhFst7rHET6Z1rfJ3?input=http%3A%2F%2Fwww.sina.com.cn%2F,IR,0,1,0,0,0,0
141,2020-02-04 19:13:56,RASANA - Aria Shatel Company Ltd,31549,https://www.ipvanish.com/,www.ipvanish.com,https://explorer.ooni.io/measurement/20200204T191333Z_AS31549_Lu2svoiwoeCEjydl8IybOZmrBFYcs6GsiqhFst7rHET6Z1rfJ3?input=https%3A%2F%2Fwww.ipvanish.com%2F,IR,0,1,0,0,0,0
142,2020-02-04 19:13:59,RASANA - Aria Shatel Company Ltd,31549,https://openasia.org/,openasia.org,https://explorer.ooni.io/measurement/20200204T191333Z_AS31549_Lu2svoiwoeCEjydl8IybOZmrBFYcs6GsiqhFst7rHET6Z1rfJ3?input=https%3A%2F%2Fopenasia.org%2F,IR,0,0,0,0,1,0
143,2020-02-04 19:14:20,RASANA - Aria Shatel Company Ltd,31549,https://www.ahmadbatebi.com/fa/,www.ahmadbatebi.com,https://explorer.ooni.io/measurement/20200204T191333Z_AS31549_Lu2svoiwoeCEjydl8IybOZmrBFYcs6GsiqhFst7rHET6Z1rfJ3?input=https%3A%2F%2Fwww.ahmadbatebi.com%2Ffa%2F,IR,0,0,0,0,1,0
144,2020-02-04 19:14:44,RASANA - Aria Shatel Company Ltd,31549,https://www.gnupg.org/,www.gnupg.org,https://explorer.ooni.io/measurement/20200204T191333Z_AS31549_Lu2svoiwoeCEjydl8IybOZmrBFYcs6GsiqhFst7rHET6Z1rfJ3?input=https%3A%2F%2Fwww.gnupg.org%2F,IR,0,0,0,0,1,0
145,2020-02-04 19:17:08,DCI-AS - Information Technology Company (ITC),12880,http://www.wiesenthal.com/,www.wiesenthal.com,https://explorer.ooni.io/measurement/20200204T191709Z_AS12880_MFVce4912JgsBIqBVv61AtcsYArVaTQxBCcPwOYBeudkrKYp4I?input=http%3A%2F%2Fwww.wiesenthal.com%2F,IR,0,1,0,0,0,0
146,2020-02-04 19:17:18,DCI-AS - Information Technology Company (ITC),12880,https://www.bbc.com/persian/,www.bbc.com,https://explorer.ooni.io/measurement/20200204T191709Z_AS12880_MFVce4912JgsBIqBVv61AtcsYArVaTQxBCcPwOYBeudkrKYp4I?input=https%3A%2F%2Fwww.bbc.com%2Fpersian%2F,IR,0,1,0,0,0,0
147,2020-02-04 19:18:16,DCI-AS - Information Technology Company (ITC),12880,http://www.schwarzreport.org/,www.schwarzreport.org,https://explorer.ooni.io/measurement/20200204T191709Z_AS12880_MFVce4912JgsBIqBVv61AtcsYArVaTQxBCcPwOYBeudkrKYp4I?input=http%3A%2F%2Fwww.schwarzreport.org%2F,IR,0,1,0,0,0,0
148,2020-02-04 19:18:21,DCI-AS - Information Technology Company (ITC),12880,http://www.malware.com/,www.malware.com,https://explorer.ooni.io/measurement/20200204T191709Z_AS12880_MFVce4912JgsBIqBVv61AtcsYArVaTQxBCcPwOYBeudkrKYp4I?input=http%3A%2F%2Fwww.malware.com%2F,IR,1,0,0,0,0,0
149,2020-02-04 19:18:21,DCI-AS - Information Technology Company (ITC),12880,https://www.keriomaker.com/,www.keriomaker.com,https://explorer.ooni.io/measurement/20200204T191709Z_AS12880_MFVce4912JgsBIqBVv61AtcsYArVaTQxBCcPwOYBeudkrKYp4I?input=https%3A%2F%2Fwww.keriomaker.com%2F,IR,0,1,0,0,0,0
150,2020-02-04 19:18:29,IRANCELL-AS - Iran Cell Service and Communication Company,44244,http://www.911truth.org/,www.911truth.org,https://explorer.ooni.io/measurement/20200204T191822Z_AS44244_DnpKGKhZ5Y9SjNLdoDtHE7Sni64VKBj21gXgWvCK1Hfn5okCdy?input=http%3A%2F%2Fwww.911truth.org%2F,IR,0,0,0,0,0,1
151,2020-02-04 19:21:53,DCI-AS - Information Technology Company (ITC),12880,https://savefrom.net/,savefrom.net,https://explorer.ooni.io/measurement/20200204T192154Z_AS12880_3HWgF07ZqkQgXYRJeP8uhcj29J9w99mO1moBycXpxvQZzTvsqZ?input=https%3A%2F%2Fsavefrom.net%2F,IR,0,1,0,0,0,0
152,2020-02-04 19:22:29,DCI-AS - Information Technology Company (ITC),12880,https://video.twimg.com/,video.twimg.com,https://explorer.ooni.io/measurement/20200204T192154Z_AS12880_3HWgF07ZqkQgXYRJeP8uhcj29J9w99mO1moBycXpxvQZzTvsqZ?input=https%3A%2F%2Fvideo.twimg.com%2F,IR,0,0,0,0,1,0
153,2020-02-04 19:22:56,IRANCELL-AS - Iran Cell Service and Communication Company,44244,https://sex021.net/,sex021.net,https://explorer.ooni.io/measurement/20200204T192255Z_AS44244_kCYAQQH7hGk7s4tgFV7xJReQoKqJ18v7Wd1lXZHOn8O0oHhpp5?input=https%3A%2F%2Fsex021.net%2F,IR,0,0,0,0,1,0
154,2020-02-04 19:23:10,IRANCELL-AS - Iran Cell Service and Communication Company,44244,https://tgp.babesnetwork.com/,tgp.babesnetwork.com,https://explorer.ooni.io/measurement/20200204T192255Z_AS44244_kCYAQQH7hGk7s4tgFV7xJReQoKqJ18v7Wd1lXZHOn8O0oHhpp5?input=https%3A%2F%2Ftgp.babesnetwork.com%2F,IR,0,1,0,0,0,0
