url,category_code,category_description,explorer_url,domain
https://vegas.williamhill.com/,GMB,Gambling,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fvegas.williamhill.com%2F,vegas.williamhill.com
https://1337x.to/,FILE,File-sharing,https://explorer.ooni.org/measurement/?input=https%3A%2F%2F1337x.to%2F,1337x.to
https://svtv.org,NEWS,News Media,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fsvtv.org,svtv.org
http://ultrasurf.us/,ANON,Anonymization and circumvention tools,https://explorer.ooni.org/measurement/?input=http%3A%2F%2Fultrasurf.us%2F,ultrasurf.us
https://grand-casino0.com/grand/,GMB,Gambling,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fgrand-casino0.com%2Fgrand%2F,grand-casino0.com
https://novayagazeta.ru,NEWS,News Media,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fnovayagazeta.ru,novayagazeta.ru
https://t.me,COMT,Communication Tools,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Ft.me,t.me
https://scontent-frt3-2.cdninstagram.com/favicon.ico,GRP,Social Networking,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fscontent-frt3-2.cdninstagram.com%2Ffavicon.ico,scontent-frt3-2.cdninstagram.com
https://video.cdninstagram.com/favicon.ico,GRP,Social Networking,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fvideo.cdninstagram.com%2Ffavicon.ico,video.cdninstagram.com
https://b.growerz.online/,ALDR,Alcohol & Drugs,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fb.growerz.online%2F,b.growerz.online
https://zasekin.ru/,NEWS,News Media,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fzasekin.ru%2F,zasekin.ru
https://jahforum.org/,ALDR,Alcohol & Drugs,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fjahforum.org%2F,jahforum.org
https://www.usrf.us/,HUMR,Human Rights Issues,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fwww.usrf.us%2F,www.usrf.us
https://www.newsru.com/,NEWS,News Media,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fwww.newsru.com%2F,www.newsru.com
https://www.gofundme.com/,ECON,Economics,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fwww.gofundme.com%2F,www.gofundme.com
https://sibrea.gitlab.io/,ANON,Anonymization and circumvention tools,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fsibrea.gitlab.io%2F,sibrea.gitlab.io
https://www.radiomarsho.com/,NEWS,News Media,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fwww.radiomarsho.com%2F,www.radiomarsho.com
