domain,category_code,category_description,explorer_url
www.backtrack-linux.org,HACK,Hacking Tools,https://explorer.ooni.org/measurement/20221022T033227Z_webconnectivity_RU_8427_n1_m8BkBE4ED8XAZz2J?input=http%3A%2F%2Fwww.backtrack-linux.org%2F
chemical696.biz,ALDR,Alcohol & Drugs,https://explorer.ooni.org/measurement/20221023T152529Z_webconnectivity_RU_35807_n1_gUdvrTpOj3NmatoB?input=http%3A%2F%2Fchemical696.biz
zetflix.fun,MMED,Media sharing,https://explorer.ooni.org/measurement/20220310T123130Z_webconnectivity_RU_8359_n1_PoaIG7DYsJo77VwC?input=http%3A%2F%2Fzetflix.fun
zetflix.to,MMED,Media sharing,https://explorer.ooni.org/measurement/20220310T123130Z_webconnectivity_RU_8359_n1_PoaIG7DYsJo77VwC?input=http%3A%2F%2Fzetflix.to
zetflix.top,MMED,Media sharing,https://explorer.ooni.org/measurement/20220310T123130Z_webconnectivity_RU_8359_n1_PoaIG7DYsJo77VwC?input=http%3A%2F%2Fzetflix.top
anilibria.tv,MMED,Media sharing,https://explorer.ooni.org/measurement/20220310T123130Z_webconnectivity_RU_8359_n1_PoaIG7DYsJo77VwC?input=http%3A%2F%2Fanilibria.tv
www.kavkaz-uzel.eu,NEWS,News Media,https://explorer.ooni.org/measurement/20221210T030409Z_webconnectivity_RU_48642_n1_TQUouQdg4M5IEGWJ?input=https%3A%2F%2Fwww.kavkaz-uzel.eu%2F
www.the-village.ru,NEWS,News Media,https://explorer.ooni.org/measurement/20221031T003335Z_webconnectivity_RU_212614_n1_YyOGXxwV09og66Ps?input=https%3A%2F%2Fwww.the-village.ru
turbobit.net,NEWS,News Media,https://explorer.ooni.org/measurement/20220117T075836Z_webconnectivity_RU_51813_n1_llYynjqUyG07ioGz?input=https%3A%2F%2Fturbobit.net%2F
fapreactor.com,PORN,Pornography,https://explorer.ooni.org/measurement/20220407T111625Z_webconnectivity_RU_28812_n1_KoIh9T2ul3Repigv?input=http%3A%2F%2Ffapreactor.com%2F
hdr-tor.cc,ALDR,Alcohol & Drugs,https://explorer.ooni.org/measurement/20220407T122650Z_webconnectivity_RU_25159_n1_oOjm4rsKZdP4DhKz?input=http%3A%2F%2Fhdr-tor.cc
rts24.biz,ALDR,Alcohol & Drugs,https://explorer.ooni.org/measurement/20221228T063111Z_webconnectivity_RU_8359_n1_YPoovlj9j2ToaIPl?input=http%3A%2F%2Frts24.biz
i.gr-assets.com,CULTR,Culture,https://explorer.ooni.org/measurement/20220703T173755Z_webconnectivity_RU_12688_n1_0bIDzYot6dkDrFCG?input=https%3A%2F%2Fi.gr-assets.com%2Frobots.txt
